compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Common name,genus,specificEpithet,FIA Species Code,Taxon ID Notes,minDiameter,maxDiameter,dbh range (cm),Initials and References Used and Other Notes,Excluding Factor,need_density,spg_gcm3,Zanne et al Reference Number,density_source,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACSAS,,Sugar maple,Acer,saccharum var. saccharum,,,3,70,3 – 70,AQ. Allometry assigned using SPG.,,,0.56,6,Zanne et al 2009,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACER,,,Acer,sp.,,,,,,"SR- Assigning this allometry based on the fact that most maples have a SPG <0.5, however this is a tenuous assumption especially if sugar maple is common in a region, and in that case it should be H2",,,0.49,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSP2,,"Maple, mountain",Acer,spicatum,319,,3,10,3 – 10,,,,0.47,,,,,,
SMS,H7,,,Euphorbiaceae,ADRI,ADRI,,Adelia,ricinella,,,,,,,,,0.707,,Zanne et al 2009; average of 2 species in Americas,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AECA,,,Aesculus,californica,,,,,,SR; H13 used based on family,,,0.33,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AEFL,,"Aesculus, yellow",Aesculus,flava,332,,8,56,8 – 56,,,,0.33,,,,,,
SMS,H13,,,Hippocastanaceae,AEPA,AEPA,,Aesculus,pavia,,,,,,,,no,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Simaroubaceae,AIAL,,Tree of heaven,Ailanthus,altissima,,,,,,AQ. Allometry assigned based on family not included in other allometries,,,0.457191,6,Zanne et al 2009; There were 6 spg values for this species and the one entered here is only one from the North American region,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,ALINR,,Speckled alder,Alnus,incana ssp. rugosa,,,,,,AQ. Allometry assigned using SPG.,,,0.43911,28,Zanne et al 2009,,,,
WG_75,H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALRU2,,"Alder, red",Alnus,rubra,351,,3,64,3 – 64,,,,0.37,,,,,,
SMS,,,,Betulaceae,ALNUS,ALNUS,,Alnus,sp.,,,,,,,,yes,0.37,,Zanne et al 2009; average of 1 NA species,,,,
WG_75,H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALVI5,,"Alder, sitka",Alnus,viridis,350,,3,7,3 – 7,,,,0.37,,,,,,
SMS,,,,Rosaceae,AMAL2,AMAL2,,Amelanchier,alnifolia,,,,,,,,,,,,,,forest,17 of 21 associations forested in http://usnvc.org/explore-classification/ 
SMS,,,,Rosaceae,AMAR3,AMAR3,,Amelanchier,arborea,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,AMLA,,,Amelanchier,laevis,,,,,,"SR- SPG not known, H7 chosen based on Rosaceae",,,,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,AMELA,,Serviceberry,Amelanchier,sp.,356,,3,25,3 – 25,,,,0.66,,,,,forest,WG_75
SMS,H9,,,Fabaceae,AMFR,AMFR,,Amorpha,fruticosa,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,,,,Rutaceae,AMEL,,Sea torchwood,Amyris,elemifera,,,,,,"AQ. Tropical species, not sure if covered by one of these allometries.",Tropical,,1.05,111,Zanne et al 2009; ,,,,
WG_75,,,,Fabaceae,ANIN,,Cabbagebark tree,Andira,inermis,,,,,,AQ,Range expands all of Florida and Puerto Rico,,0.635,141,Zanne et al 2009; There were 8 spg values and the value closest to the average was entered,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,ARME,,"Madrone, Pacific",Arbutus,menziesii,361,,3,64,3 – 64,,,,0.58,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,ARVIM,,"Manzanita, Mariposa",Arctostaphylos,viscida ssp. mariposa,,,,,,Added by kj - based on Chave et al & Zanne et al. database  (other Acrotstaphylos sp.),,,0.71,,Zanne et al 2009; other Acrotstaphylos sp.,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Annonaceae,ASTR,,,Asimina,triloba,,,,,,SR; H7 used due to family not represented in other groups,,,0.47,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,BESC,,Alabama supplejack,Berchemia,scandens,,,,,,"kj assigned, spg not known *** other Berchemia sp. from Africa have extremely high spg, H7 may underestimate AGB",,,0.855,,Zanne et al 2009; average of 4 species (none from Americas),,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BECAC,,,Betula,× caerulea var. caerulea,,,,,,SR- SPG not known; H4 chosen because both hybrid parents are contained with this allometry. Assumption is that hybrid would also be within this allometry,,,0.465,,Zanne et al 2009; average of B. populifolia and B. papyrifera parents,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEAL2,,"Birch, yellow",Betula,alleghaniensis,371,,3,70,3 – 70,,,,0.55,,,,,,
SMS,,,,Betulaceae,BEGL,BEGL,"Birch, resin",Betula,glandulosa,,,,,,,,yes,0.517,,Zanne et al 2009; average of 6 NA species,,,,
SMS,,,,Betulaceae,BEGL/BENA,BEGL/BENA,"Birch, resin or dwarf",Betula,glandulosa or nana,,,,,,,,yes,0.517,,Zanne et al 2009; average of 6 NA species,,,,
WG_75,H6,hardwood,Betulaceae  >= 0.60 spg,Betulaceae,BELE,,"Birch, sweet",Betula,lenta,372,,3,47,3 – 47,,,,0.6,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BENE4,,"Birch, resin",Betula,neoalaskana,,,,,,Added by kj,,,0.53,,worldagroforstr.org,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BENI,,River birch,Betula,nigra,,,,,,AQ. Allometry assigned using SPG.,,,0.49,6,Zanne et al 2009,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEOC2,,,Betula,occidentalis,,,,,,SR; allometry chosen based on this SPG,,,0.53,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPA,,"Birch, paper",Betula,papyrifera,375,,3,51,3 – 51,AQ. Allometry assigned using SPG.,,,0.48,6,Zanne et al 2009,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAC2,,Mountain paper birch,Betula,papyrifera var. cordifolia,,,3,51,3 – 51,AQ. Allometry assigned using SPG.,,,0.48,6,Zanne et al 2009,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAP,,Paper birch,Betula,papyrifera var. papyrifera,,,3,51,3 – 51,AQ. Allometry assigned using SPG.,,,0.48,6,Zanne et al 2009,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPO,,"Birch, gray",Betula,populifolia,379,,3,23,3 – 23,,,,0.45,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BETUL,,,Betula,sp.,,,,,,SR. Allometry assigned using this SPG ,,,0.54,,"Jenkins, Chojnacky, et al 2004",,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Boraginaceae,BOURR,,,Bourreria,sp.,,,,,,spg from Bourreria succulenta copied,,,0.54,,,,,,
WG_75,,,,Boraginaceae,BOSU2,,,Bourreria,succulenta,,,,,,SR; Puerto Rico,Puerto Rico,,0.54,,"Brandeis, T.J., et al 2006",,,,
SMS,H7,,,Hydrangeaceae,BRAR6,BRAR6,,Broussaisia,arguta,,,,,,,,,0.36,,Selmants et al 2014 and Ostertag et al 2014; Asner et al 2011 FEE Hawaii field data have alternate value of 0.21,,,,
WG_75,,,,Combretaceae,BUBU,,Gregorywood,Bucida,buceras,,,,,,AQ,"Tropical, Florida/Puerto Rico only",,0.69,204,"Zanne et al 2009; 3 spg values, median value from South America assigned.",,,,
SMS,H7,,,Malpighiaceae,BUGL,BUGL,,Bunchosia,glandulosa,,,,,,,,,0.695,,Zanne et al 2009; average of 2 species in Americas,,,,
WG_75,,,,Burseraceae,BUSI,,Gumbo limbo,Bursera,simaruba,,,,,,AQ,"Tropical, Florida/Puerto Rico only",,0.31,141,"Zanne et al 2009; 6 spg values, value closest to average assigned.",,,,
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,CADE27,,incense-cedar,Calocedrus,decurrens,81,,25,44,25– 144,,,,0.35,,,,,forest,WG_75
WG_75,,,,Capparaceae ,CACY,,,Capparis,cynophallophora,,,,,,SR- SPG not known,Tropical,,0.673,,Zanne et al 2009; average of 3 species from Mexico,,,,
WG_75,,,,Capparaceae ,CAHA9,,,Capparis,hastata,,,,,,SR- SPG not known,Puerto Rico,,0.673,,Zanne et al 2009; average of 3 species from Mexico,,,,
SMS,H7,,,Capparaceae,CAIN5,CAIN5,,Capparis,indica,,,,,,,,,0.68,,Zanne et al 2009,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,CACA18,,American hornbeam ,Carpinus,caroliniana,,,,,,AQ,,yes,0.58,6,Zanne et al 2009,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,CACAV,,American hornbeam,Carpinus,caroliniana,,syn CACAV2,,,,AQ,,yes,0.58,6,Zanne et al 2009,,,,
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAAQ2,,Water hickory,Carya,aquatica,,,,,,AQ,,,0.61,6,Zanne et al 2009,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Juglandaceae,CACA38,CACA38,,Carya,carolinae-septentrionalis,,,,,,,,yes,0.611,,Zanne et al 2009; average of 10 NA species,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CACO15,,Bitternut hickory ,Carya,cordiformis,,,,,,AQ,,,0.6,6,Zanne et al 2009,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAGL8,,"Hickory, pignut",Carya,glabra (Carya spp.),,,,,,Added by kj; Could be either H8 or H9,,,0.66,,Zanne et al 2009; matched by genus,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAIL2,,Pecan,Carya,illinoinensis,404,,22,33,22– 33,,,,0.6,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAOV3,,,Carya,ovalis,,,,,,"SR- syn for C. glabra (source: FNA, ITIS) same SPG as that species. Allometry assigned based on genus Carya.",,,0.66,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAOV2,,"Hickory, shagbark",Carya,ovata,407,,5,43,5 – 43,,,,0.64,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CARYA,,Hickory,Carya,sp.,400,,3,70,3 – 70,,,,0.62,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CATO6,,"Hickory, mockernut",Carya,tomentosa,,syn CAAL27 Carya alba,,,,Added by kj - based on Zanne et al. 2009,,,0.64,,Miles and Smith 2009 have 0.64 green volume basis and 0.72 12 pct moisture volume basis,,,forest,http://usnvc.org/explore-classification/
SMS,H7,,,Flacourtiaceae,CAAC3,CAAC3,,Casearia,aculeata,,,,,,,,,0.66,,Zanne et al 2009,,,,
SMS,H7,,,Flacourtiaceae,CASY2,CASY2,,Casearia,sylvestris,,,,,,,,,0.66,3014,Zanne et al 2009,,,,
SMS,H7,,,Celastraceae,CAXY,CAXY,,Cassine,xylocarpa,,,,,,,,,0.722,,Zanne et al 2009; average of 6 species around world (none from Americas),,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,CADE12,,"Chestnut, American",Castanea,dentata,421,,3,32,3 – 32,,,,0.4,,,decid,WG_75,forest,WG_75
SMS,,,,Fagaceae,CASTA,CASTA,,Castanea,sp.,,,,,,,,no,,,,decid,www.efloras.org ,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,CEIN3,,Deerbrush,Ceanothus,integerrimus,,,,,,"kj assigned, spg not known; SR- This is a shrub should probably be removed?",,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELA,,Sugarberry,Celtis,laevigata,,,,,,AQ,,,0.47,118,Zanne et al 2009,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CEOC,,Common hackberry ,Celtis,occidentalis,,syn CEOCO2,,,,AQ,,,0.49,118,Zanne et al 2009,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELTI,,,Celtis,sp.,,,,,,Allometry assigned using family.,,,,,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,CECA4,,Eastern redbud,Cercis,canadensis,,,,,,AQ,,,0.65,136,Zanne et al 2009,,,forest,WG_75
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,CECAC,,Eastern redbud,Cercis,canadensis var. canadensis,,,,,,AQ,,,0.65,136,Zanne et al 2009,,,forest,WG_75
SMS,H9,,,Fabaceae,CERCI2,CERCI2,,Cercis,sp.,,,,,,,,no,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,W2,woodland,Fabaceae/Rosaceae,Rosaceae,CELE3,,Mountain mahogany,Cercocarpus,ledifolius,475,,5,56,5 – 56,,,,0.81,,,,,woodland,WG_75
WG_75,W2,woodland,Fabaceae/Rosaceae,Rosaceae,CEMOG,,"Mountain mahogany, birchleaf",Cercocarpus,montanus var. glaber,,,3,5,3 – 5,Added by kj; SR- SPG based on other C. montanus,,,0.81,,worldagroforstr.org,,,woodland,WG_75
WG_75,W2,woodland,Fabaceae/Rosaceae,Rosaceae,CEMOP,,Mountain Mahogany,Cercocarpus,montanus var. pauciden,477,,3,5,3 – 5,Added by kj; SR- SPG based on other C. montanus,,,0.81,,worldagroforstr.org,,,woodland,WG_75
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,CANO9,,"Cedar, Alaska",Chamaecyparis,nootkatensis,42,,8,9,8 – 109,,,,0.42,,,,,forest,WG_75
WG_75,,,,Araliaceae ,CHTR2,,,Cheirodendron,trigynum,,,,,,SR,Hawaii,,0.47,,Asner et al 2011 FEE Hawaii field data,,,,
WG_75,H11,hardwood,"Fagaceae, evergreen",Fagaceae,CHCH7,,"Chinkapin, golden",Chrysolepis,chrysophylla,431,,3,61,3 – 61,,,,0.42,,,ever,WG_75,forest,WG_75
SMS,,,,Fagaceae,CHSE11,CHSE11,,Chrysolepis,sempervirens,,,,,,,,no,,,,ever,calscape.org,forest,http://usnvc.org/explore-classification/
WG_75,,,,Dicksoniaceae,CIGL,,,Cibotium,glaucum,,,,,,SR,Hawaii,,0.22,,Asner et al 2011 FEE Hawaii field data,,,,
WG_75,,,,Dicksoniaceae,CIME8,,,Cibotium,menziesii,,,,,,SR,Hawaii,,0.21,,Asner et al 2011 FEE Hawaii field data,,,,
SMS,H7,,,Dicksoniaceae,CIBOT,CIBOT,,Cibotium,sp.,,,,,,,,,0.21,,Asner et al 2011 FEE Hawaii field data,,,,
SMS,H9,,,Fabaceae,CLADR,CLADR,,Cladrastis,sp.,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,CLTE3,CLTE3,,Clitoria,ternatea,,,,,,,,no,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,H7,,,Polygonaceae,COKR,COKR,,Coccoloba,krugii,,,,,,,,,0.738,,Zanne et al 2009; average of 9 Mexican and Central American species,,,,
SMS,H7,,,Polygonaceae,COMI,COMI,,Coccoloba,microstachya,,,,,,,,,0.738,,Zanne et al 2009; average of 9 Mexican and Central American species,,,,
WG_75,,,,Polygonaceae,CODI8,,tietongue,Coccoloba diversifolia,diversifolia,,,,,,BS,Only occurs in select counties in southern florida,,0.8,111,Zanne et al 2009,,,,
WG_75,,,,Anacardiaceae,CODO,,,Comocladia,dodonaea,,,,,,SR - SPG not known,Puerto Rico,,0.79,,Zanne et al 2009; used other Comocladia species from Mexico,,,,
SMS,H7,,,Rubiaceae,COER3,COER3,,Coprosma,ernodeoides,,,,,,,,,0.48,,Asner et al 2011 FEE Hawaii field data,,,,
WG_75,,,,Rubiaceae,COOC3,,,Coprosma,ochracea,,,,,,SR - SPG not known,Hawaii,,0.48,,Asner et al 2011 FEE Hawaii field data,,,,
WG_75,,,,Boraginaceae,COCO5,,red manjack,Cordia,collococca,,,,,,"BS. Hawaii, Puerto Rico",Tropical,,0.38,116,Zanne et al 2009; Assigned Central America value,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CODR,,,Cornus,drummondii,,,,,,SR- SPG not known; H7 based on Cornaceae,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,COFL2,,Dogwood,Cornus,florida,491,previously CYFL7,3,12,3 – 12,,,,0.64,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,COFO,,"Dogwood, stiff",Cornus,foemina Mill.,,,,,,"kj assigned, spg not known",,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CONU4,,"Dogwood, Pacific",Cornus,nuttallii,,,,,,Added by kj,,,0.58,,worldagroforstr.org,,,,
SMS,,,,Betulaceae,COAM3,COAM3,,Corylus,americana,,,,,,,,yes,0.55,,Zanne et al 2009; average of 2 other Corylus species,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCO6,,,Corylus,cornuta,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,yes,0.55,,Zanne et al 2009; average of 2 other Corylus species,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCOC,,,Corylus,cornuta var. californica,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,yes,0.55,,Zanne et al 2009; average of 2 other Corylus species,,,,
SMS,,,,Betulaceae,COCOC2,COCOC2,,Corylus,cornuta var. cornuta,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,yes,0.55,,Zanne et al 2009; average of 2 other Corylus species,,,,
SMS,,,,Rosaceae,CRCH,CRCH,,Crataegus,chrysocarpa,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Rosaceae,CRCR2,CRCR2,,Crataegus,crus-galli,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Rosaceae,CRFL2,CRFL2,,Crataegus,flava,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Rosaceae,CRMA3,CRMA3,,Crataegus,macrosperma,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,CRATA,,,Crataegus,sp.,,,,,,Allometry assigned based on Rosaceae,,,,,,,,forest,WG_75
SMS,,,,Rosaceae,CRATASPP,CRATASPP,,Crataegus,spp.,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
SMS,H7,,,Euphorbiaceae,CRBE4,CRBE4,,Croton,betulinus,,,,,,,,,0.565,,Zanne et al 2009; average of 2 Mexican and Central American species,,,,
