compiled_by,allometry_ID_manual,group,subgroup,Family,taxonID,acceptedTaxonID,Common name,genus,specificEpithet,FIA Species Code,spg_gcm3,minDiameter,maxDiameter,dbh range (cm),Taxon ID Notes,Zanne et al Reference Number,Initials and References Used and Other Notes,Excluding Factor,density_source,need_density,decid_vs_ever,decid_vs_ever_source,woodland_vs_forest,woodland_vs_forest_source
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,ACCO2,,,Acacia,constricta,,,,,,syn VACC09 Vachellia constricta,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,,,,,,woodland,WG_75
SMS,H9,,,Fabaceae,ACFA,ACFA,,Acacia,farnesiana,,0.813,,,,,,,,average of 4 Mexican or Central American species in Zanne et al 2009,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,W2,woodland,Fabaceae/Rosaceae,Fabaceae,ACGR,,,Acacia,greggii,,,,,,syn SEGR4 Senagalia greggii,,SR - SPG not known; Woodland allometry assigned based on multi bole growth and desert distribution. Could potentially be H9,,,,,,woodland,WG_75
WG_75,,,,Fabaceae,ACKO,,,Acacia,koa,,0.55,,,,,,SR - SPG from Skolmen 1974; Hawaii,Hawaii,Asner et al 2011 FEE - citing Chave et al 2009 - same value as Skolmen 1974,,,,forest,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,ACRE4,ACRE4,,Acacia,retusa,,0.813,,,,,,,,average of 4 Mexican or Central American species in Zanne et al 2009,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACBA3,,,Acer,barbatum,,0.56,,,,,,"SR- syn for A. floridanum, spg for that species used. Allometry assigned based on SPG.",,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACCI,,Vine maple,Acer,circinatum,,0.51,,,,,,"SR- other species in the palmatum group of maples have SPG >0.5, used this as a guide for allometry selection",,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACFL,,,Acer,floridanum,,0.56,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry asigned based on SPG",,,,,,,
SMS,,,,Aceraceae,ACGL,ACGL,,Acer,glabrum,,0.468,,,,,,,,average of 8 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Aceraceae,ACGLD4,ACGLD4,,Acer,glabrum,,0.468,,,,,,,,average of 8 NA species in Zanne et al 2009,yes,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACMA3,,"Maple, bigleaf",Acer,macrophyllum,312,0.44,5,46,5 – 46,,,,,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNE2,,Box elder,Acer,negundo,,0.416,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACNEN,,Box elder,Acer,negundo var. negundo,,0.416,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACNI5,,Black maple,Acer,nigrum,,0.52,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACPE,,"Maple, striped",Acer,pensylvanicum,315,0.44,3,13,3 – 13,,,,,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRU,,"Maple, red",Acer,rubrum,316,0.49,3,66,3 – 66,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACRUR,,Red maple,Acer,rubrum var. rubrum,,0.49,3,66,3 – 66,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSA2,,"Maple, silver",Acer,saccharinum,317,0.44,4,45,4 – 45,,,,,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACSA3,,"Maple, sugar",Acer,saccharum,318,0.56,3,70,3 – 70,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H2,hardwood,Aceraceae >= 0.50 spg,Aceraceae,ACSAS,,Sugar maple,Acer,saccharum var. saccharum,,0.56,3,70,3 – 70,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACER,,,Acer,sp.,,0.49,,,,,,"SR- Assigning this allometry based on the fact that most maples have a SPG <0.5, however this is a tenuous assumption especially if sugar maple is common in a region, and in that case it should be H2",,,,,,,
WG_75,H1,hardwood,Aceraceae < 0.50 spg*,Aceraceae,ACSP2,,"Maple, mountain",Acer,spicatum,319,0.47,3,10,3 – 10,,,,,,,,,,
SMS,H7,,,Euphorbiaceae,ADRI,ADRI,,Adelia,ricinella,,0.707,,,,,,,,average of 2 species in Americas from Zanne et al 2009,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AECA,,,Aesculus,californica,,0.33,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H13 used based on family",,,,,,,
WG_75,H13,hardwood,Hippocastanaceae/Tiliaceae,Hippocastanaceae,AEFL,,"Aesculus, yellow",Aesculus,flava,332,0.33,8,56,8 – 56,,,,,,,,,,
SMS,H13,,,Hippocastanaceae,AEPA,AEPA,,Aesculus,pavia,,,,,,,,,,,no,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Simaroubaceae,AIAL,,Tree of heaven,Ailanthus,altissima,,0.457191,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. There were 6 spg values for this species and the one entered here is only one from the North American region; Allometry assigned based on family not included in other allometries",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,ALINR,,Speckled alder,Alnus,incana ssp. rugosa,,0.43911,,,,,28,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALRU2,,"Alder, red",Alnus,rubra,351,0.37,3,64,3 – 64,,,,,,,,,,
SMS,,,,Betulaceae,ALNUS,ALNUS,,Alnus,sp.,,0.37,,,,,,,,average of 1 NA specie in Zanne et al 2009,yes,,,,
WG_75,H3,hardwood,Betulaceae  < 0.40 spg,Betulaceae,ALVI5,,"Alder, sitka",Alnus,viridis,350,0.37,3,7,3 – 7,,,,,,,,,,
SMS,,,,Rosaceae,AMAL2,AMAL2,,Amelanchier,alnifolia,,,,,,,,,,,,,,forest,17 of 21 associations forested in http://usnvc.org/explore-classification/ 
SMS,,,,Rosaceae,AMAR3,AMAR3,,Amelanchier,arborea,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,AMLA,,,Amelanchier,laevis,,,,,,,,"SR- SPG not known, H7 chosen based on Rosaceae",,,,,,forest,WG_75
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rosaceae,AMELA,,Serviceberry,Amelanchier,sp.,356,0.66,3,25,3 – 25,,,,,,,,,forest,WG_75
SMS,H9,,,Fabaceae,AMFR,AMFR,,Amorpha,fruticosa,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
WG_75,,,,Rutaceae,AMEL,,Sea torchwood,Amyris,elemifera,,1.05,,,,,111,"AQ, spg added from Zanne et al. Global wood density database. Tropical species, not sure if covered by one of these allometries.",Tropical,,,,,,
WG_75,,,,Fabaceae,ANIN,,Cabbagebark tree,Andira,inermis,,0.635,,,,,141,"AQ, spg added from Zanne et al. Global wood density database. There were 8 spg values and the value closest to the average was entered",Range expands all of Florida and Puerto Rico,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,ARME,,"Madrone, Pacific",Arbutus,menziesii,361,0.58,3,64,3 – 64,,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ericaceae,ARVIM,,"Manzanita, Mariposa",Arctostaphylos,viscida ssp. mariposa,,0.71,,,,,,Added by kj - based on Chave et al & Zanne et al. database  (other Acrotstaphylos sp.),,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Annonaceae,ASTR,,,Asimina,triloba,,0.47,,,,,,"SR-SPG from Jenkins, Chojnacky, et all 2004; H7 used due to family not represented in other groups",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,BESC,,Alabama supplejack,Berchemia,scandens,,0.855,,,,,,"kj assigned, spg not known *** other Berchemia sp. from Africa have extremely high spg, H7 may underestimate AGB",,Average of 4 species (none from Americas) from Zanne et al 2009,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BECAC,,,Betula,× caerulea var. caerulea,,0.465,,,,,,SR- SPG not known; H4 chosen because both hybrid parents are contained with this allometry. Assumption is that hybrid would also be within this allometry,,Zanne et al – average of B. populifolia and B. papyrifera parents,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEAL2,,"Birch, yellow",Betula,alleghaniensis,371,0.55,3,70,3 – 70,,,,,,,,,,
SMS,,,,Betulaceae,BEGL,BEGL,"Birch, resin",Betula,glandulosa,,0.517,,,,,,,,average of 6 NA species in Zanne et al 2009,yes,,,,
SMS,,,,Betulaceae,BEGL/BENA,BEGL/BENA,"Birch, resin or dwarf",Betula,glandulosa or nana,,0.517,,,,,,,,average of 6 NA species in Zanne et al 2009,yes,,,,
WG_75,H6,hardwood,Betulaceae  >= 0.60 spg,Betulaceae,BELE,,"Birch, sweet",Betula,lenta,372,0.6,3,47,3 – 47,,,,,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BENE4,,"Birch, resin",Betula,neoalaskana,,0.53,,,,,,Added by kj - based on worldagroforstr.org,,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BENI,,River birch,Betula,nigra,,0.49,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BEOC2,,,Betula,occidentalis,,0.53,,,,,,"SR- spg from Jenkins, Chojnacky, et al 2004; allometry chosen based on this SPG",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPA,,"Birch, paper",Betula,papyrifera,375,0.48,3,51,3 – 51,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAC2,,Mountain paper birch,Betula,papyrifera var. cordifolia,,0.48,3,51,3 – 51,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPAP,,Paper birch,Betula,papyrifera var. papyrifera,,0.48,3,51,3 – 51,,6,"AQ, spg added from Zanne et al. Global wood density database. Allometry assigned using SPG.",,,,,,,
WG_75,H4,hardwood,Betulaceae 0.40 – 0.49 spg,Betulaceae,BEPO,,"Birch, gray",Betula,populifolia,379,0.45,3,23,3 – 23,,,,,,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,BETUL,,,Betula,sp.,,0.54,,,,,,"SR - SPG from Jenkins, Chojnacky, et al 2004. Allometry assigned using this SPG ",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Boraginaceae,BOURR,,,Bourreria,sp.,,0.54,,,,,,spg from Bourreria succulenta copied,,,,,,,
WG_75,,,,Boraginaceae,BOSU2,,,Bourreria,succulenta,,0.54,,,,,,"SR- spg from Brandeis, T.J., et al 2006; Puerto Rico",Puerto Rico,,,,,,
SMS,H7,,,Hydrangeaceae,BRAR6,BRAR6,,Broussaisia,arguta,,0.21,,,,,,,,Asner et al 2011 FEE field data; Selmants et al 2014 have alternate value of 0.36,,,,,
WG_75,,,,Combretaceae,BUBU,,Gregorywood,Bucida,buceras,,0.69,,,,,204,"AQ, spg added from Zanne et al. Global wood density database. 3 spg values, median value from South America assigned.","Tropical, Florida/Puerto Rico only",,,,,,
SMS,H7,,,Malpighiaceae,BUGL,BUGL,,Bunchosia,glandulosa,,0.695,,,,,,,,average of 2 species in Americas from Zanne et al 2009,,,,,
WG_75,,,,Burseraceae,BUSI,,Gumbo limbo,Bursera,simaruba,,0.31,,,,,141,"AQ, spg added from Zanne et al. Global wood density database. 6 spg values, value closest to average assigned.","Tropical, Florida/Puerto Rico only",,,,,,
WG_75,C4,conifer,Cupressaceae 0.30 – 0.39 spg,Cupressaceae,CADE27,,incense-cedar,Calocedrus,decurrens,81,0.35,25,44,25– 144,,,,,,,,,forest,WG_75
WG_75,,,,Capparaceae ,CACY,,,Capparis,cynophallophora,,0.673,,,,,,SR- SPG not known,Tropical,Zanne et al – average of 3 species from Mexico,,,,,
WG_75,,,,Capparaceae ,CAHA9,,,Capparis,hastata,,0.673,,,,,,SR- SPG not known,Puerto Rico,Zanne et al – average of 3 species from Mexico,,,,,
SMS,H7,,,Capparaceae,CAIN5,CAIN5,,Capparis,indica,,0.68,,,,,,,,Zanne et al 2009,,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,CACA18,,American hornbeam ,Carpinus,caroliniana,,0.58,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",,Zanne et al 2009,yes,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,CACAV,,American hornbeam,Carpinus,caroliniana,,0.58,,,,syn CACAV2,6,"AQ, spg added from Zanne et al. Global wood density database. ",,Zanne et al 2009,yes,,,,
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAAQ2,,Water hickory,Carya,aquatica,,0.61,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Juglandaceae,CACA38,CACA38,,Carya,carolinae-septentrionalis,,0.611,,,,,,,,average of 10 NA species in Zanne et al 2009,yes,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CACO15,,Bitternut hickory ,Carya,cordiformis,,0.6,,,,,6,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAGL8,,"Hickory, pignut",Carya,glabra (Carya spp.),,0.66,,,,,,"Added by kj - based on spg Zanne et al. 2009 - Could be either H8 or H9, matched by genus",,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAIL2,,Pecan,Carya,illinoinensis,404,0.6,22,33,22– 33,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAOV3,,,Carya,ovalis,,0.66,,,,,,"SR- syn for C. glabra (source: FNA, ITIS) same SPG as that species. Allometry assigned based on genus Carya.",,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CAOV2,,"Hickory, shagbark",Carya,ovata,407,0.64,5,43,5 – 43,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CARYA,,Hickory,Carya,sp.,400,0.62,3,70,3 – 70,,,,,,,,,forest,http://usnvc.org/explore-classification/
WG_75,H8,hardwood,"Fabaceae/Juglandaceae, Carya",Juglandaceae,CATO6,,"Hickory, mockernut",Carya,tomentosa,,0.64,,,,syn CAAL27 Carya alba,,Added by kj - based on Zanne et al. 2009,,Miles and Smith 2009 have 0.64 green volume basis and 0.72 12 pct moisture volume basis,,,,forest,http://usnvc.org/explore-classification/
SMS,H7,,,Flacourtiaceae,CAAC3,CAAC3,,Casearia,aculeata,,0.66,,,,,,,,Zanne et al 2009,,,,,
SMS,H7,,,Flacourtiaceae,CASY2,CASY2,,Casearia,sylvestris,,0.66,,,,,3014,,,Zanne et al 2009,,,,,
SMS,H7,,,Celastraceae,CAXY,CAXY,,Cassine,xylocarpa,,0.722,,,,,,,,average of 6 species around world in Zanne et al 2009 (none from Americas),,,,,
WG_75,H10,hardwood,"Fagaceae, deciduous",Fagaceae,CADE12,,"Chestnut, American",Castanea,dentata,421,0.4,3,32,3 – 32,,,,,,,decid,WG_75,forest,WG_75
SMS,,,,Fagaceae,CASTA,CASTA,,Castanea,sp.,,,,,,,,,,,no,decid,www.efloras.org ,forest,http://usnvc.org/explore-classification/
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Rhamnaceae,CEIN3,,Deerbrush,Ceanothus,integerrimus,,,,,,,,"kj assigned, spg not known; SR- This is a shrub should probably be removed?",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELA,,Sugarberry,Celtis,laevigata,,0.47,,,,,118,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CEOC,,Common hackberry ,Celtis,occidentalis,,0.49,,,,syn CEOCO2,118,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Ulmaceae,CELTI,,,Celtis,sp.,,,,,,,,Allometry assigned using family.,,,,,,,
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,CECA4,,Eastern redbud,Cercis,canadensis,,0.65,,,,,136,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,forest,WG_75
WG_75,H9,hardwood,"Fabaceae/Juglandaceae, other",Fabaceae,CECAC,,Eastern redbud,Cercis,canadensis var. canadensis,,0.65,,,,,136,"AQ, spg added from Zanne et al. Global wood density database. ",,,,,,forest,WG_75
SMS,H9,,,Fabaceae,CERCI2,CERCI2,,Cercis,sp.,,,,,,,,,,,no,,,forest,http://usnvc.org/explore-classification/
WG_75,W2,woodland,Fabaceae/Rosaceae,Rosaceae,CELE3,,Mountain mahogany,Cercocarpus,ledifolius,475,0.81,5,56,5 – 56,,,,,,,,,woodland,WG_75
WG_75,W2,woodland,Fabaceae/Rosaceae,Rosaceae,CEMOG,,"Mountain mahogany, birchleaf",Cercocarpus,montanus var. glaber,,0.81,3,5,3 – 5,,,Added by kj - based on worldagroforstr.org; SR- SPG based on other C. montanus,,,,,,woodland,WG_75
WG_75,W2,woodland,Fabaceae/Rosaceae,Rosaceae,CEMOP,,Mountain Mahogany,Cercocarpus,montanus var. pauciden,477,0.81,3,5,3 – 5,,,Added by kj - based on worldagroforstr.org; SR- SPG based on other C. montanus,,,,,,woodland,WG_75
WG_75,C5,conifer,Cupressaceae >= 0.40 spg,Cupressaceae,CANO9,,"Cedar, Alaska",Chamaecyparis,nootkatensis,42,0.42,8,9,8 – 109,,,,,,,,,forest,WG_75
WG_75,,,,Araliaceae ,CHTR2,,,Cheirodendron,trigynum,,0.47,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,H11,hardwood,"Fagaceae, evergreen",Fagaceae,CHCH7,,"Chinkapin, golden",Chrysolepis,chrysophylla,431,0.42,3,61,3 – 61,,,,,,,ever,WG_75,forest,WG_75
SMS,,,,Fagaceae,CHSE11,CHSE11,,Chrysolepis,sempervirens,,,,,,,,,,,no,ever,calscape.org,forest,http://usnvc.org/explore-classification/
WG_75,,,,Dicksoniaceae,CIGL,,,Cibotium,glaucum,,0.22,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Dicksoniaceae,CIME8,,,Cibotium,menziesii,,0.21,,,,,,"SR - spg from Asner, G. P. et al (2011); Hawaii",Hawaii,Asner et al 2011 FEE field data,,,,,
SMS,H7,,,Dicksoniaceae,CIBOT,CIBOT,,Cibotium,sp.,,0.21,,,,,,,,Asner et al 2011 FEE field data,,,,,
SMS,H9,,,Fabaceae,CLADR,CLADR,,Cladrastis,sp.,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H9,,,Fabaceae,CLTE3,CLTE3,,Clitoria,ternatea,,,,,,,,,,,no,,,woodland,http://usnvc.org/explore-classification/
SMS,H7,,,Polygonaceae,COKR,COKR,,Coccoloba,krugii,,0.738,,,,,,,,Average of 9 Mexican and Central American species in Zanne et al 2009,,,,,
SMS,H7,,,Polygonaceae,COMI,COMI,,Coccoloba,microstachya,,0.738,,,,,,,,Average of 9 Mexican and Central American species in Zanne et al 2009,,,,,
WG_75,,,,Polygonaceae,CODI8,,tietongue,Coccoloba diversifolia,diversifolia,,0.8,,,,,111,"BS, spg added from Zanne et al. Global wood density database. ",Only occurs in select counties in southern florida,,,,,,
WG_75,,,,Anacardiaceae,CODO,,,Comocladia,dodonaea,,0.79,,,,,,SR - SPG not known,Puerto Rico,Zanne et al – used other Comocladia species from Mexico,,,,,
SMS,H7,,,Rubiaceae,COER3,COER3,,Coprosma,ernodeoides,,0.48,,,,,,,,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Rubiaceae,COOC3,,,Coprosma,ochracea,,0.48,,,,,,SR - SPG not known,Hawaii,Asner et al 2011 FEE field data,,,,,
WG_75,,,,Boraginaceae,COCO5,,red manjack,Cordia,collococca,,0.38,,,,,116,"BS, spg added from Zanne et al. Global wood density database. Assigned Central America value. Hawaii, Puerto Rico",Tropical,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CODR,,,Cornus,drummondii,,,,,,,,SR- SPG not known; H7 based on Cornaceae,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,COFL2,,Dogwood,Cornus,florida,491,0.64,3,12,3 – 12,previously CYFL7,,,,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,COFO,,"Dogwood, stiff",Cornus,foemina Mill.,,,,,,,,"kj assigned, spg not known",,,,,,,
WG_75,H7,hardwood,Cornaceae/Ericaceae/Lauraceae/Platanaceae/Rosaceae/Ulmaceae/other,Cornaceae,CONU4,,"Dogwood, Pacific",Cornus,nuttallii,,0.58,,,,,,Added by kj - based on worldagroforstr.org,,,,,,,
SMS,,,,Betulaceae,COAM3,COAM3,,Corylus,americana,,0.55,,,,,,,,Zanne et al – average of 2 other Corylus species,yes,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCO6,,,Corylus,cornuta,,0.55,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,Zanne et al – average of 2 other Corylus species,yes,,,,
WG_75,H5,hardwood,Betulaceae 0.50 – 0.59 spg,Betulaceae,COCOC,,,Corylus,cornuta var. californica,,0.55,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,Zanne et al – average of 2 other Corylus species,yes,,,,
SMS,,,,Betulaceae,COCOC2,COCOC2,,Corylus,cornuta var. cornuta,,0.55,,,,,,"SR- SPG not known; H5 chosen based on several other species of Corylus having SPG within this range. However, could be other Betulaceae allometry",,Zanne et al – average of 2 other Corylus species,yes,,,,
SMS,,,,Rosaceae,CRCH,CRCH,,Crataegus,chrysocarpa,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
SMS,,,,Rosaceae,CRCR2,CRCR2,,Crataegus,crus-galli,,,,,,,,,,,,,,forest,http://usnvc.org/explore-classification/
SMS,,,,Rosaceae,CRFL2,CRFL2,,Crataegus,flava,,,,,,,,,,,,,,woodland,http://usnvc.org/explore-classification/
