domainID,siteID,plotID,subplotID,clipCellNumber,clipID,sampleID,date,ovenInDate,ovenOutDate,weighDate,herbGroup,qaDryMass,dryMass,measuredBy,recordedBy,enteredBy,remarks
NA,NA,NA,NA,17,NIWO_060_0017,NEON.hbp.NIWO0600017.20150804.FRB,2015-08-14T15:14:27.390Z,2015-08-05T18:23:00.000Z,2015-08-10T19:31:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,5.99,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_060_0017,NEON.hbp.NIWO0600017.20150804.LFB,2015-08-14T15:14:27.390Z,2015-08-05T18:23:00.000Z,2015-08-10T19:31:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_060_0017,NEON.hbp.NIWO0600017.20150804.WSG,2015-08-14T15:14:27.390Z,2015-08-05T18:23:00.000Z,2015-08-10T19:31:00.000Z,2015-08-10T00:00:00.000Z,Warm Season Graminoids,N,0,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,17,NIWO_060_0017,NEON.hbp.NIWO0600017.20150804.CSG,2015-08-14T15:14:27.390Z,2015-08-05T18:23:00.000Z,2015-08-10T19:31:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,1.78,jjensen@field-ops.org,jjensen@field-ops.org,jjohnson@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_051_0142,NEON.hbp.NIWO0510142.20150806.BRY,2015-08-11T22:01:45.171Z,2015-08-07T16:35:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Bryophyte,N,2.51,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_051_0142,NEON.hbp.NIWO0510142.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T16:35:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,N,1.57,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,120,NIWO_056_0120,NEON.hbp.NIWO0560120.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T22:00:00.000Z,2015-08-10T16:05:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0.69,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,120,NIWO_056_0120,NEON.hbp.NIWO0560120.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T22:00:00.000Z,2015-08-10T16:00:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,10.29,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,120,NIWO_056_0120,NEON.hbp.NIWO0560120.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T22:00:00.000Z,2015-08-10T16:04:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,1.68,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,120,NIWO_056_0120,NEON.hbp.NIWO0560120.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T22:00:00.000Z,2015-08-10T16:02:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,7.17,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,8,NIWO_065_0008,NEON.hbp.NIWO0650008.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T20:02:00.000Z,2015-08-10T15:58:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,4.23,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,8,NIWO_065_0008,NEON.hbp.NIWO0650008.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T20:02:00.000Z,2015-08-10T15:56:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,3.24,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,103,NIWO_003_0103,NEON.hbp.NIWO0030103.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T17:55:00.000Z,2015-08-11T19:30:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,N,3.81,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,103,NIWO_003_0103,NEON.hbp.NIWO0030103.20150806.FRB,2015-08-11T22:01:45.171Z,2015-08-07T17:55:00.000Z,2015-08-11T19:30:00.000Z,2015-08-11T00:00:00.000Z,Non-leguminous Forbs,N,12.78,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,31,81,NIWO_044_0081,NEON.hbp.NIWO0440081.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T22:50:00.000Z,2015-08-10T16:29:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,2.53,jjenson@field-ops.org,jjenson@field-ops.org,NA,NA
NA,NA,NA,NA,81,NIWO_044_0081,NEON.hbp.NIWO0440081.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T22:50:00.000Z,2015-08-10T16:26:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,21.65,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,152,NIWO_064_0152,NEON.hbp.NIWO0640152.20150806.WST,2015-08-11T22:01:45.171Z,2015-08-07T14:25:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Woody-stemmed Plants,Y,5.12,kbarrett@neoninc.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,81,NIWO_044_0081,NEON.hbp.NIWO0440081.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T22:50:00.000Z,2015-08-10T16:32:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,8.75,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,152,NIWO_064_0152,NEON.hbp.NIWO0640152.20150806.WST,2015-08-11T22:01:45.171Z,2015-08-07T14:25:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Woody-stemmed Plants,N,5.13,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,152,NIWO_064_0152,NEON.hbp.NIWO0640152.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T14:25:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,Y,0.04,kbarrett@neoninc.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,152,NIWO_064_0152,NEON.hbp.NIWO0640152.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T14:25:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,N,0.02,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,202,NIWO_043_0202,NEON.hbp.NIWO0430202.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T17:44:00.000Z,2015-08-10T15:09:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,15.51,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,202,NIWO_043_0202,NEON.hbp.NIWO0430202.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T17:44:00.000Z,2015-08-10T15:13:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,2.9,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,202,NIWO_043_0202,NEON.hbp.NIWO0430202.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T17:44:00.000Z,2015-08-10T15:17:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.37,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,202,NIWO_043_0202,NEON.hbp.NIWO0430202.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T17:44:00.000Z,2015-08-10T15:07:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,1.89,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.WST,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Woody-stemmed Plants,Y,5.73,kbarrett@neoninc.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,Y,0.17,kbarrett@neoninc.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.BRY,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Bryophyte,Y,1,kbarrett@neoninc.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.WST,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Woody-stemmed Plants,N,5.73,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.FRB,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Non-leguminous Forbs,N,3.19,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,N,0.19,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_062_0094,NEON.hbp.NIWO0620094.20150806.BRY,2015-08-11T22:01:45.171Z,2015-08-07T17:08:00.000Z,2015-08-11T19:15:00.000Z,2015-08-11T00:00:00.000Z,Bryophyte,N,1,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_048_0142,NEON.hbp.NIWO0480142.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:00:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,14.89,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_048_0142,NEON.hbp.NIWO0480142.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T14:58:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,1.75,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_048_0142,NEON.hbp.NIWO0480142.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:02:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.07,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,142,NIWO_048_0142,NEON.hbp.NIWO0480142.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T19:02:00.000Z,2015-08-10T15:05:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,4.33,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:46:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,Y,6.75,dmonahan@neoninc.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,153,NIWO_006_0153,NEON.hbp.NIWO0060153.20150806.BRY,2015-08-11T22:01:45.171Z,2015-08-07T15:27:00.000Z,2015-08-11T19:30:00.000Z,2015-08-11T00:00:00.000Z,Bryophyte,N,0.86,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,153,NIWO_006_0153,NEON.hbp.NIWO0060153.20150806.CSG,2015-08-11T22:01:45.171Z,2015-08-07T15:27:00.000Z,2015-08-11T19:30:00.000Z,2015-08-11T00:00:00.000Z,Cool Season Graminoids,N,2.21,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,153,NIWO_006_0153,NEON.hbp.NIWO0060153.20150806.FRB,2015-08-11T22:01:45.171Z,2015-08-07T15:27:00.000Z,2015-08-11T19:30:00.000Z,2015-08-11T00:00:00.000Z,Non-leguminous Forbs,N,6.87,mbitters@field-ops.org,mbitters@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:43:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,2.01,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:46:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,6.75,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:41:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,Y,5.75,dmonahan@neoninc.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:43:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,Y,2.02,dmonahan@neoninc.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_059_0094,NEON.hbp.NIWO0590094.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T22:00:00.000Z,2015-08-10T15:29:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,20.35,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,94,NIWO_059_0094,NEON.hbp.NIWO0590094.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T21:23:00.000Z,2015-08-10T15:28:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,11.74,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:39:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,5.11,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,166,NIWO_055_0166,NEON.hbp.NIWO0550166.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T17:04:00.000Z,2015-08-10T15:41:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,5.74,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_066_0180,NEON.hbp.NIWO0660180.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T20:30:00.000Z,2015-08-10T16:18:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,8.36,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,170,NIWO_068_0170,NEON.hbp.NIWO0680170.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T20:10:00.000Z,2015-08-10T15:25:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.27,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,170,NIWO_068_0170,NEON.hbp.NIWO0680170.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T20:10:00.000Z,2015-08-10T15:20:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,1.55,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,170,NIWO_068_0170,NEON.hbp.NIWO0680170.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T20:10:00.000Z,2015-08-10T15:23:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,4.49,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_066_0180,NEON.hbp.NIWO0660180.20150803.BRY,2015-08-11T22:01:45.171Z,2015-08-04T20:30:00.000Z,2015-08-10T16:24:00.000Z,2015-08-10T00:00:00.000Z,Bryophyte,N,0.03,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,197,NIWO_041_0197,NEON.hbp.NIWO0410197.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T22:03:00.000Z,2015-08-10T16:07:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,3.48,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_066_0180,NEON.hbp.NIWO0660180.20150803.LFB,2015-08-11T22:01:45.171Z,2015-08-04T20:30:00.000Z,2015-08-10T16:21:00.000Z,2015-08-10T00:00:00.000Z,Leguminous Forbs,N,0.58,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,180,NIWO_066_0180,NEON.hbp.NIWO0660180.20150803.CSG,2015-08-11T22:01:45.171Z,2015-08-04T20:30:00.000Z,2015-08-10T16:16:00.000Z,2015-08-10T00:00:00.000Z,Cool Season Graminoids,N,3.19,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,83,NIWO_069_0083,NEON.hbp.NIWO0690083.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T19:48:00.000Z,2015-08-10T15:49:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,Y,4.06,dmonahan@neoninc.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
NA,NA,NA,NA,83,NIWO_069_0083,NEON.hbp.NIWO0690083.20150803.FRB,2015-08-11T22:01:45.171Z,2015-08-04T19:48:00.000Z,2015-08-10T15:49:00.000Z,2015-08-10T00:00:00.000Z,Non-leguminous Forbs,N,4.05,jjenson@field-ops.org,jjenson@field-ops.org,mbitters@field-ops.org,NA
