"uid","domainID","siteID","plotID","subplotID","divDataType","targetTaxaPresent","otherVariablesPresent","taxonID","acceptedTaxonID","identificationQualifier","taxonIDRemarks","morphospeciesID","otherVariables","percentCover","heightPlantOver300cm","heightPlantSpecies","boutNumber","date","samplingProtocol","identificationReferences","measuredBy","recordedBy","enteredBy","remarks","individualID"
"8CFDFE08C94942E4ADEFF3AC171CA319",NA,"UNDE","UNDE_018","31.4.1","plantSpecies","Y",NA,"CHCA2","CHCA2",NA,NA,NA,NA,"1","N","11","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"BC86AAC73ED244F883E87FF0D97BD174",NA,"UNDE","UNDE_018","31.4.1","plantSpecies","Y",NA,"LEGR","LEGR",NA,NA,NA,NA,"5","N","35","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"3C02B34E547A4026911B3CA3257EB446",NA,"UNDE","UNDE_018","31.4.1","plantSpecies","Y",NA,"MATR4","MATR4",NA,NA,NA,NA,"1","N","4","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"CD552C9FCA7C4A05A3B190BAEE784B2E",NA,"UNDE","UNDE_018","31.4.1","plantSpecies","Y",NA,"VAMY","VAMY",NA,NA,NA,NA,"0.5","N","17","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"CF5A0FA6864249B0B3E7A18C85125EF0",NA,"UNDE","UNDE_018","31.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"overstory","14",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"264B813540DE4DACBA089065B13DD1A8",NA,"UNDE","UNDE_018","31.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"moss","99",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"5B93E2D9A0434F3289ED41B5C0101080",NA,"UNDE","UNDE_018","31.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"lichen","1",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"D911CB004A4A4527BD5FE60E796BDA1C",NA,"UNDE","UNDE_018","31.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"standingDead","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"0270A43E627A45AFB5617E456A3E5B77",NA,"UNDE","UNDE_018","31.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"41BCCFDCF43A4FE597039B61B2AD17B7",NA,"UNDE","UNDE_018","31.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","6",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"E90BC61C71BE428CBD1C533CF475981D",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"LEGR","LEGR",NA,NA,NA,NA,"25","N","48","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"D14F3408D5BE47ED91F28F0476A7C172",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"KAPO","KAPO",NA,NA,NA,NA,"0.5","N","12","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"9A53A8E041834065B14D802B9E1CD3CF",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"GAHI2","GAHI2",NA,NA,NA,NA,"1","N","6","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"3DEE403C814E400296217785B8AE1B3C",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"GAPR2","GAPR2",NA,NA,NA,NA,"4","N","9","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"41F95AD67E2B476B8B86E1695791BB1E",NA,"UNDE","UNDE_018","32.2.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"D9EE5CB214504188B32022C2EBD2B721",NA,"UNDE","UNDE_018","32.2.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"264F4D85E83D418983C91ED750BEC79A",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"PIMA","PIMA",NA,NA,NA,NA,"0.5","N","10","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"5B7F224C549D4EFEA3D6B1BD48081C09",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"ACRU","ACRU",NA,NA,NA,NA,"0.5","N","7","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"785576EB3DE64226A7709AC5701CC937",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"VAMA","VAMA","cf. species",NA,NA,NA,"0.5","N","12","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"BB4862C4438D43F19EFFA9EF7D0A3D68",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"CATR10","CATR10",NA,NA,NA,NA,"0.5","N","11","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"513F8B78BB864CFAA6E2C711DE7589AE",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"MATR4","MATR4",NA,NA,NA,NA,"2","N","8","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"2F06607E07B640CEB2E150871CE4F1FD",NA,"UNDE","UNDE_018","32.2.1","plantSpecies","Y",NA,"VAMY","VAMY",NA,NA,NA,NA,"2","N","34","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"0A5DBB474724426AA0CD50FEA3CF58F7",NA,"UNDE","UNDE_018","41.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","3",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"6A8F83C88B5B4ADFB90CBB1CECACA432",NA,"UNDE","UNDE_018","41.4.1","plantSpecies","Y",NA,"LALA","LALA",NA,NA,NA,NA,"2","Y",NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"A67DBC79EDE249F9BD48DF3E063EB9A5",NA,"UNDE","UNDE_018","41.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"standingDead","1",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"8213DD1081F147B1837761A33D91C8D1",NA,"UNDE","UNDE_018","41.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","2",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"1811084AF3AF4392B40C7E12E24599C5",NA,"UNDE","UNDE_018","41.4.1","plantSpecies","Y",NA,"VAMY","VAMY",NA,NA,NA,NA,"9","N","22","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"65B85A9CF7F74B8BB562E366FB54D1BB",NA,"UNDE","UNDE_018","41.4.1","plantSpecies","Y",NA,"LEGR","LEGR",NA,NA,NA,NA,"20","N","67","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"9145111D1F71418EB2066ABE69BC21A6",NA,"UNDE","UNDE_018","41.4.1","plantSpecies","Y",NA,"VAMA","VAMA","cf. species",NA,NA,NA,"0.5","N","13","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"6CB8583B318B4A0BB484F3818BF58ED8",NA,"UNDE","UNDE_018","41.4.1","plantSpecies","Y",NA,"GAHI2","GAHI2",NA,NA,NA,NA,"0.5","N","4","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"0C35DB51D3D0480A87FDBBBB9F6A4C3A",NA,"UNDE","UNDE_018","41.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"moss","98",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"B141459062974200AD17950842A2CEC8",NA,"UNDE","UNDE_018","41.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"lichen","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"1B9DEF63CA4B4592975307F0E78B2077",NA,"UNDE","UNDE_018","41.4.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"overstory","55",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"9284B7C9A5C548A29FE106A351CCD595",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"VAMA","VAMA","aff. species",NA,NA,NA,"0.5","N","7","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"6D223D27D1B8487697AF165B53BAF713",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"MATR4","MATR4",NA,NA,NA,NA,"1","N","6","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"AC2C136EFB4B406B88798E5FCBBECEAD",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"ACRU","ACRU",NA,NA,NA,NA,"0.5","N","7","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"FD81E4EB72514B50ACC726A2286ED661",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"KAPO","KAPO",NA,NA,NA,NA,"1","N","23","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"E4AD3440D25E4E1EB0C1413B441772EA",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"LEGR","LEGR",NA,NA,NA,NA,"50","N","61","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"FD122A6D96CC4495871E89A6A769497E",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"GAHI2","GAHI2",NA,NA,NA,NA,"0.5","N","2","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"10D9B87148644B91B735B2A5631A248E",NA,"UNDE","UNDE_018","31.1.1","plantSpecies","Y",NA,"VAMY","VAMY",NA,NA,NA,NA,"35","N","43","1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"41F7CF5696064B54B683A53826289DB7",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"lichen","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"1EA4A476FC484751BB73AEDF9FCF2C14",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"moss","100",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"F2F2C940F05A4254872CFBE86612A120",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"overstory","27",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"ADCFEA75D0404551847D8B6CDEB901B2",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","1",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"28B7186A65E640419B5BDAD6FF8E7223",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"86D5A0771A1E491B9BFBFBA8F8DB9333",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"standingDead","1",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"4F8C4FEE617B47E9A8032AFF619DB237",NA,"UNDE","UNDE_018","31.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"water","1",NA,NA,"1","""2015-07-01""",NA,NA,"tkuhlman@field-ops.org","pagosti@field-ops.org","radams@field-ops.org",NA,NA
"F1EFD6E262A640F7B9BEE4AEA53C001D",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"moss","10",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"325E0BD58E3D4E66B944343BF14DCA20",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"overstory","80",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"164C67C794FC41C29B80BD7E1E717DD8",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"water","0.5",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"6A00DFD69FBC40D5BB0A13A5EFF74C48",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"lichen","0.5",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"EDE664A12D8B41DD8A2276F3118E3AB5",NA,"UNDE","UNDE_016","40.3.1","plantSpecies","Y",NA,"COCO6","COCO6",NA,NA,NA,NA,"2","N","37","1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"23592913EEF943F38E995CFB9FDE179A",NA,"UNDE","UNDE_016","40.3.1","plantSpecies","Y",NA,"ACRU","ACRU","cf. species",NA,NA,NA,"11","N","70","1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"4223E0FF1DD44721BA0B1F8FEAC2E461",NA,"UNDE","UNDE_015","40.1.1","plantSpecies","Y",NA,"CAREX","CAREX",NA,NA,NA,NA,"0.5","N","14","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"D62F02000CA543DABD525F06BA0B4F12",NA,"UNDE","UNDE_015","40.1.1","plantSpecies","Y",NA,"FRAXI","FRAXI","cf. genus",NA,NA,NA,"0.5","N","5","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"A72FA412CCF54172B6E1008037FA6CFF",NA,"UNDE","UNDE_015","40.1.1","plantSpecies","Y",NA,"ACSP2","ACSP2",NA,NA,NA,NA,"3","N","57","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"61CAB136D24B49C2927ACE070988E933",NA,"UNDE","UNDE_015","40.1.1","plantSpecies","Y",NA,"ABBA","ABBA",NA,NA,NA,NA,"7","N","150","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"71869932E4014622BE8B0BD57794BCCF",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","85",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"C3AAED4067D54BB4836EF4B6B23E28B1",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"standingDead","0.5",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"D1AA5348088D42669A6E116057DA9ED7",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"soil","0.5",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"AD42295A31304D55943BE3A9C4B649A9",NA,"UNDE","UNDE_015","40.1.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","5",NA,NA,"1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"DB7ECA380B66425DBF1C7AF8D480BA4D",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"water","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"69DDCD9C205D4248BC50940EF31DF653",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"standingDead","0.5",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"BC218C135F254DBF80516007B2910219",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"litter","3",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"BBFAC3A62D5548E4929BEF51C738EE93",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"wood","12",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"EA8148958B0A45F1A30F1E719E2FAA1F",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"overstory","7",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"9B7F2480700A491F997B06ED345C996C",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"moss","6",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"91CF71E7F6C84E4DA2418E52F8A1C5AC",NA,"UNDE","UNDE_016","40.3.1","otherVariables",NA,"Y",NA,NA,NA,NA,NA,"lichen","1",NA,NA,"1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"9F9FE72A8A994931BBEC96B5DF825BA9",NA,"UNDE","UNDE_015","40.3.1","plantSpecies","Y",NA,"FRAXI","FRAXI",NA,NA,NA,NA,"0.5","N","5","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"D26E65007A674D45B483A5751B537C88",NA,"UNDE","UNDE_016","40.3.1","plantSpecies","Y",NA,"RITR","RITR",NA,NA,NA,NA,"2","N","16","1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"7EEAD2A4ADF148D19F59DA24C76F0CEA",NA,"UNDE","UNDE_015","40.3.1","plantSpecies","Y",NA,"RUPU","RUPU",NA,NA,NA,NA,"0.5","N","3","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
"477399E12383473D859085C02420D477",NA,"UNDE","UNDE_016","40.3.1","plantSpecies","Y",NA,"RUPU","RUPU",NA,NA,NA,NA,"1","N","10","1","""2015-07-01""",NA,NA,"radams@field-ops.org","pagosti@field-ops.org","pagosti@field-ops.org",NA,NA
"AF54FC7962DF46378E1D007987F29524",NA,"UNDE","UNDE_015","40.3.1","plantSpecies","Y",NA,"LONIC","LONIC",NA,NA,NA,NA,"2","N","33","1","""2015-06-18""",NA,NA,"radams@field-ops.org","tkuhlman@field-ops.org","tkuhlman@field-ops.org",NA,NA
