"plotID","lidsAngle1","lidsAngle2","lidsAngle3","siteID","lidsConcat"
"CPER_010",20,140,260,"CPER","20|140|260"
"CPER_011",140,260,20,"CPER","140|260|20"
"CPER_012",280,40,160,"CPER","280|40|160"
"CPER_013",30,150,270,"CPER","30|150|270"
"CPER_014",340,100,220,"CPER","340|100|220"
"CPER_015",280,40,160,"CPER","280|40|160"
"CPER_016",350,110,230,"CPER","350|110|230"
"CPER_017",190,310,70,"CPER","190|310|70"
"CPER_018",240,0,120,"CPER","240|0|120"
"CPER_019",330,90,210,"CPER","330|90|210"
"CPER_020",190,310,70,"CPER","190|310|70"
"CPER_045",0,120,240,"CPER","0|120|240"
"CPER_046",290,50,170,"CPER","290|50|170"
"CPER_047",20,140,260,"CPER","20|140|260"
"CPER_048",340,100,220,"CPER","340|100|220"
"CPER_049",150,270,30,"CPER","150|270|30"
"CPER_050",20,140,260,"CPER","20|140|260"
"CPER_051",340,100,220,"CPER","340|100|220"
"CPER_052",150,270,30,"CPER","150|270|30"
"CPER_053",310,70,190,"CPER","310|70|190"
"CPER_054",150,270,30,"CPER","150|270|30"
"CPER_055",320,80,200,"CPER","320|80|200"
"CPER_056",100,220,340,"CPER","100|220|340"
"CPER_057",200,320,80,"CPER","200|320|80"
"CPER_058",260,20,140,"CPER","260|20|140"
"CPER_059",190,310,70,"CPER","190|310|70"
"CPER_060",200,320,80,"CPER","200|320|80"
"CPER_061",260,20,140,"CPER","260|20|140"
"CPER_062",190,310,70,"CPER","190|310|70"
"CPER_063",270,30,150,"CPER","270|30|150"
"CPER_064",280,40,160,"CPER","280|40|160"
"CPER_065",140,260,20,"CPER","140|260|20"
"CPER_066",250,10,130,"CPER","250|10|130"
"CPER_067",230,350,110,"CPER","230|350|110"
"CPER_068",330,90,210,"CPER","330|90|210"
"CPER_069",80,200,320,"CPER","80|200|320"
"CPER_070",230,350,110,"CPER","230|350|110"
"CPER_071",330,90,210,"CPER","330|90|210"
"CPER_072",80,200,320,"CPER","80|200|320"
"CPER_073",110,230,350,"CPER","110|230|350"
"CPER_074",0,120,240,"CPER","0|120|240"
"DEJU_001",170,290,50,"DEJU","170|290|50"
"DEJU_002",310,70,190,"DEJU","310|70|190"
"DEJU_003",100,220,340,"DEJU","100|220|340"
"DEJU_004",50,170,290,"DEJU","50|170|290"
"DEJU_005",300,60,180,"DEJU","300|60|180"
"DEJU_006",120,240,0,"DEJU","120|240|0"
"DEJU_007",150,270,30,"DEJU","150|270|30"
"DEJU_008",280,40,160,"DEJU","280|40|160"
"DEJU_009",240,0,120,"DEJU","240|0|120"
"DEJU_010",150,270,30,"DEJU","150|270|30"
"DEJU_014",80,200,320,"DEJU","80|200|320"
"DEJU_015",210,330,90,"DEJU","210|330|90"
"DEJU_016",40,160,280,"DEJU","40|160|280"
"DEJU_017",60,180,300,"DEJU","60|180|300"
"DEJU_018",210,330,90,"DEJU","210|330|90"
"DEJU_019",280,40,160,"DEJU","280|40|160"
"DEJU_020",60,180,300,"DEJU","60|180|300"
"DEJU_021",210,330,90,"DEJU","210|330|90"
"DEJU_023",130,250,10,"DEJU","130|250|10"
"DEJU_024",240,0,120,"DEJU","240|0|120"
"DEJU_045",160,280,40,"DEJU","160|280|40"
"DEJU_046",110,230,350,"DEJU","110|230|350"
"DEJU_047",40,160,280,"DEJU","40|160|280"
"DEJU_048",10,130,250,"DEJU","10|130|250"
"DEJU_049",30,150,270,"DEJU","30|150|270"
"DEJU_050",40,160,280,"DEJU","40|160|280"
"DEJU_051",10,130,250,"DEJU","10|130|250"
"DEJU_052",30,150,270,"DEJU","30|150|270"
"DEJU_053",300,60,180,"DEJU","300|60|180"
"DEJU_054",310,70,190,"DEJU","310|70|190"
"DEJU_055",130,250,10,"DEJU","130|250|10"
"DEJU_056",210,330,90,"DEJU","210|330|90"
"DEJU_057",70,190,310,"DEJU","70|190|310"
"DEJU_058",300,60,180,"DEJU","300|60|180"
"DEJU_059",120,240,0,"DEJU","120|240|0"
"DEJU_060",70,190,310,"DEJU","70|190|310"
"DEJU_061",300,60,180,"DEJU","300|60|180"
"DEJU_062",120,240,0,"DEJU","120|240|0"
"DEJU_063",180,300,60,"DEJU","180|300|60"
"DEJU_064",50,170,290,"DEJU","50|170|290"
"DELA_001",40,160,280,"DELA","40|160|280"
"DELA_002",90,210,330,"DELA","90|210|330"
"DELA_003",190,310,70,"DELA","190|310|70"
"DELA_004",170,290,50,"DELA","170|290|50"
"DELA_005",210,330,90,"DELA","210|330|90"
"DELA_006",260,20,140,"DELA","260|20|140"
"DELA_007",310,70,190,"DELA","310|70|190"
"DELA_008",330,90,210,"DELA","330|90|210"
"DELA_009",160,280,40,"DELA","160|280|40"
"DELA_010",310,70,190,"DELA","310|70|190"
"DELA_011",330,90,210,"DELA","330|90|210"
"DELA_012",160,280,40,"DELA","160|280|40"
"DELA_013",230,350,110,"DELA","230|350|110"
"DELA_014",240,0,120,"DELA","240|0|120"
"DELA_015",180,300,60,"DELA","180|300|60"
"DELA_016",280,40,160,"DELA","280|40|160"
"DELA_017",170,290,50,"DELA","170|290|50"
"DELA_018",290,50,170,"DELA","290|50|170"
"DELA_019",230,350,110,"DELA","230|350|110"
"DELA_020",170,290,50,"DELA","170|290|50"
"DELA_037",120,240,0,"DELA","120|240|0"
"DELA_038",220,340,100,"DELA","220|340|100"
"DELA_039",190,310,70,"DELA","190|310|70"
"DELA_040",120,240,0,"DELA","120|240|0"
"DELA_041",220,340,100,"DELA","220|340|100"
"DELA_042",190,310,70,"DELA","190|310|70"
"DELA_043",150,270,30,"DELA","150|270|30"
"DELA_044",270,30,150,"DELA","270|30|150"
"DELA_045",90,210,330,"DELA","90|210|330"
"DELA_046",20,140,260,"DELA","20|140|260"
"DELA_047",250,10,130,"DELA","250|10|130"
"DELA_048",270,30,150,"DELA","270|30|150"
"DELA_049",110,230,350,"DELA","110|230|350"
"DELA_050",250,10,130,"DELA","250|10|130"
"DELA_051",270,30,150,"DELA","270|30|150"
"DELA_052",110,230,350,"DELA","110|230|350"
"DELA_053",220,340,100,"DELA","220|340|100"
"DELA_054",240,0,120,"DELA","240|0|120"
"DELA_055",330,90,210,"DELA","330|90|210"
"DELA_056",290,50,170,"DELA","290|50|170"
"DSNY_001",250,10,130,"DSNY","250|10|130"
"DSNY_002",140,260,20,"DSNY","140|260|20"
"DSNY_003",230,350,110,"DSNY","230|350|110"
"DSNY_004",240,0,120,"DSNY","240|0|120"
"DSNY_005",310,70,190,"DSNY","310|70|190"
"DSNY_006",250,10,130,"DSNY","250|10|130"
"DSNY_007",20,140,260,"DSNY","20|140|260"
"DSNY_008",0,120,240,"DSNY","0|120|240"
"DSNY_009",10,130,250,"DSNY","10|130|250"
"DSNY_010",20,140,260,"DSNY","20|140|260"
"DSNY_011",0,120,240,"DSNY","0|120|240"
"DSNY_012",10,130,250,"DSNY","10|130|250"
"DSNY_013",110,230,350,"DSNY","110|230|350"
"DSNY_014",80,200,320,"DSNY","80|200|320"
"DSNY_015",10,130,250,"DSNY","10|130|250"
"DSNY_016",30,150,270,"DSNY","30|150|270"
"DSNY_017",280,40,160,"DSNY","280|40|160"
"DSNY_021",10,130,250,"DSNY","10|130|250"
"DSNY_025",210,330,90,"DSNY","210|330|90"
"DSNY_034",140,260,20,"DSNY","140|260|20"
"DSNY_041",10,130,250,"DSNY","10|130|250"
"DSNY_042",340,100,220,"DSNY","340|100|220"
"DSNY_043",80,200,320,"DSNY","80|200|320"
"DSNY_044",190,310,70,"DSNY","190|310|70"
"DSNY_045",210,330,90,"DSNY","210|330|90"
"DSNY_046",100,220,340,"DSNY","100|220|340"
"DSNY_047",210,330,90,"DSNY","210|330|90"
"DSNY_048",70,190,310,"DSNY","70|190|310"
"DSNY_049",100,220,340,"DSNY","100|220|340"
"DSNY_050",210,330,90,"DSNY","210|330|90"
"DSNY_051",70,190,310,"DSNY","70|190|310"
"DSNY_052",100,220,340,"DSNY","100|220|340"
"DSNY_053",310,70,190,"DSNY","310|70|190"
"DSNY_054",150,270,30,"DSNY","150|270|30"
"DSNY_055",180,300,60,"DSNY","180|300|60"
"DSNY_056",210,330,90,"DSNY","210|330|90"
"DSNY_057",280,40,160,"DSNY","280|40|160"
"DSNY_058",20,140,260,"DSNY","20|140|260"
"DSNY_059",170,290,50,"DSNY","170|290|50"
"DSNY_060",280,40,160,"DSNY","280|40|160"
"DSNY_061",20,140,260,"DSNY","20|140|260"
"DSNY_062",170,290,50,"DSNY","170|290|50"
"DSNY_063",320,80,200,"DSNY","320|80|200"
"DSNY_064",260,20,140,"DSNY","260|20|140"
"DSNY_065",290,50,170,"DSNY","290|50|170"
"DSNY_066",260,20,140,"DSNY","260|20|140"
"DSNY_067",90,210,330,"DSNY","90|210|330"
"DSNY_068",230,350,110,"DSNY","230|350|110"
"DSNY_069",110,230,350,"DSNY","110|230|350"
"DSNY_070",90,210,330,"DSNY","90|210|330"
"GRSM_001",290,50,170,"GRSM","290|50|170"
"GRSM_002",200,320,80,"GRSM","200|320|80"
"GRSM_003",310,70,190,"GRSM","310|70|190"
"GRSM_004",350,110,230,"GRSM","350|110|230"
"GRSM_005",20,140,260,"GRSM","20|140|260"
"GRSM_006",220,340,100,"GRSM","220|340|100"
"GRSM_007",0,120,240,"GRSM","0|120|240"
"GRSM_008",80,200,320,"GRSM","80|200|320"
"GRSM_009",260,20,140,"GRSM","260|20|140"
"GRSM_010",0,120,240,"GRSM","0|120|240"
"GRSM_011",80,200,320,"GRSM","80|200|320"
"GRSM_012",260,20,140,"GRSM","260|20|140"
"GRSM_013",50,170,290,"GRSM","50|170|290"
"GRSM_014",290,50,170,"GRSM","290|50|170"
"GRSM_015",280,40,160,"GRSM","280|40|160"
"GRSM_016",40,160,280,"GRSM","40|160|280"
"GRSM_017",280,40,160,"GRSM","280|40|160"
"GRSM_018",130,250,10,"GRSM","130|250|10"
"GRSM_019",40,160,280,"GRSM","40|160|280"
"GRSM_025",60,180,300,"GRSM","60|180|300"
"GRSM_047",240,0,120,"GRSM","240|0|120"
"GRSM_048",170,290,50,"GRSM","170|290|50"
"GRSM_049",210,330,90,"GRSM","210|330|90"
"GRSM_050",240,0,120,"GRSM","240|0|120"
"GRSM_051",170,290,50,"GRSM","170|290|50"
"GRSM_052",210,330,90,"GRSM","210|330|90"
"GRSM_053",350,110,230,"GRSM","350|110|230"
"GRSM_054",20,140,260,"GRSM","20|140|260"
"GRSM_055",170,290,50,"GRSM","170|290|50"
"GRSM_056",220,340,100,"GRSM","220|340|100"
"GRSM_057",310,70,190,"GRSM","310|70|190"
"GRSM_058",160,280,40,"GRSM","160|280|40"
"GRSM_059",80,200,320,"GRSM","80|200|320"
"GRSM_060",310,70,190,"GRSM","310|70|190"
"GRSM_061",160,280,40,"GRSM","160|280|40"
"GRSM_062",80,200,320,"GRSM","80|200|320"
"GRSM_063",220,340,100,"GRSM","220|340|100"
"GRSM_064",150,270,30,"GRSM","150|270|30"
"GRSM_065",150,270,30,"GRSM","150|270|30"
"GRSM_066",60,180,300,"GRSM","60|180|300"
"GUAN_001",300,60,180,"GUAN","300|60|180"
"GUAN_002",10,130,250,"GUAN","10|130|250"
"GUAN_003",120,240,0,"GUAN","120|240|0"
"GUAN_004",60,180,300,"GUAN","60|180|300"
"GUAN_005",270,30,150,"GUAN","270|30|150"
"GUAN_006",10,130,250,"GUAN","10|130|250"
"GUAN_007",80,200,320,"GUAN","80|200|320"
"GUAN_008",10,130,250,"GUAN","10|130|250"
"GUAN_009",210,330,90,"GUAN","210|330|90"
"GUAN_010",80,200,320,"GUAN","80|200|320"
"GUAN_011",10,130,250,"GUAN","10|130|250"
"GUAN_012",210,330,90,"GUAN","210|330|90"
"GUAN_013",200,320,80,"GUAN","200|320|80"
"GUAN_014",310,70,190,"GUAN","310|70|190"
"GUAN_015",190,310,70,"GUAN","190|310|70"
"GUAN_016",310,70,190,"GUAN","310|70|190"
"GUAN_017",100,220,340,"GUAN","100|220|340"
"GUAN_018",310,70,190,"GUAN","310|70|190"
"GUAN_019",200,320,80,"GUAN","200|320|80"
"GUAN_020",100,220,340,"GUAN","100|220|340"
"GUAN_042",250,10,130,"GUAN","250|10|130"
"GUAN_043",270,30,150,"GUAN","270|30|150"
"GUAN_044",200,320,80,"GUAN","200|320|80"
"GUAN_045",300,60,180,"GUAN","300|60|180"
"GUAN_046",20,140,260,"GUAN","20|140|260"
"GUAN_047",340,100,220,"GUAN","340|100|220"
"GUAN_048",300,60,180,"GUAN","300|60|180"
"GUAN_049",100,220,340,"GUAN","100|220|340"
"GUAN_050",340,100,220,"GUAN","340|100|220"
"GUAN_051",300,60,180,"GUAN","300|60|180"
"GUAN_052",100,220,340,"GUAN","100|220|340"
"GUAN_053",190,310,70,"GUAN","190|310|70"
"GUAN_054",220,340,100,"GUAN","220|340|100"
"GUAN_055",140,260,20,"GUAN","140|260|20"
"GUAN_056",190,310,70,"GUAN","190|310|70"
"GUAN_057",220,340,100,"GUAN","220|340|100"
"GUAN_058",50,170,290,"GUAN","50|170|290"
"GUAN_059",170,290,50,"GUAN","170|290|50"
"GUAN_060",220,340,100,"GUAN","220|340|100"
"GUAN_061",50,170,290,"GUAN","50|170|290"
"HARV_001",70,190,310,"HARV","70|190|310"
"HARV_002",20,140,260,"HARV","20|140|260"
"HARV_004",320,80,200,"HARV","320|80|200"
"HARV_005",10,130,250,"HARV","10|130|250"
"HARV_006",290,50,170,"HARV","290|50|170"
"HARV_008",90,210,330,"HARV","90|210|330"
"HARV_010",250,10,130,"HARV","250|10|130"
"HARV_011",90,210,330,"HARV","90|210|330"
"HARV_012",160,280,40,"HARV","160|280|40"
"HARV_013",140,260,20,"HARV","140|260|20"
"HARV_014",330,90,210,"HARV","330|90|210"
"HARV_015",20,140,260,"HARV","20|140|260"
"HARV_016",260,20,140,"HARV","260|20|140"
"HARV_017",140,260,20,"HARV","140|260|20"
"HARV_021",180,300,60,"HARV","180|300|60"
"HARV_022",290,50,170,"HARV","290|50|170"
"HARV_023",210,330,90,"HARV","210|330|90"
"HARV_025",10,130,250,"HARV","10|130|250"
"HARV_026",110,230,350,"HARV","110|230|350"
"HARV_027",110,230,350,"HARV","110|230|350"
"HARV_033",0,120,240,"HARV","0|120|240"
"HARV_034",140,260,20,"HARV","140|260|20"
"HARV_035",160,280,40,"HARV","160|280|40"
"HARV_036",70,190,310,"HARV","70|190|310"
"HARV_037",140,260,20,"HARV","140|260|20"
"HARV_038",250,10,130,"HARV","250|10|130"
"HARV_039",270,30,150,"HARV","270|30|150"
"HARV_040",140,260,20,"HARV","140|260|20"
"HARV_041",250,10,130,"HARV","250|10|130"
"HARV_042",270,30,150,"HARV","270|30|150"
"HARV_043",180,300,60,"HARV","180|300|60"
"HARV_044",20,140,260,"HARV","20|140|260"
"HARV_045",40,160,280,"HARV","40|160|280"
"HARV_046",340,100,220,"HARV","340|100|220"
"HARV_047",50,170,290,"HARV","50|170|290"
"HARV_048",90,210,330,"HARV","90|210|330"
"HARV_049",100,220,340,"HARV","100|220|340"
"HARV_050",50,170,290,"HARV","50|170|290"
"HARV_051",90,210,330,"HARV","90|210|330"
"HARV_052",100,220,340,"HARV","100|220|340"
"HEAL_001",190,310,70,"HEAL","190|310|70"
"HEAL_002",90,210,330,"HEAL","90|210|330"
"HEAL_003",340,100,220,"HEAL","340|100|220"
"HEAL_004",120,240,0,"HEAL","120|240|0"
"HEAL_005",110,230,350,"HEAL","110|230|350"
"HEAL_006",40,160,280,"HEAL","40|160|280"
"HEAL_010",100,220,340,"HEAL","100|220|340"
"HEAL_011",320,80,200,"HEAL","320|80|200"
"HEAL_014",140,260,20,"HEAL","140|260|20"
"HEAL_015",290,50,170,"HEAL","290|50|170"
"HEAL_016",30,150,270,"HEAL","30|150|270"
"HEAL_017",230,350,110,"HEAL","230|350|110"
"HEAL_018",170,290,50,"HEAL","170|290|50"
"HEAL_019",300,60,180,"HEAL","300|60|180"
"HEAL_020",230,350,110,"HEAL","230|350|110"
"HEAL_021",170,290,50,"HEAL","170|290|50"
"HEAL_022",300,60,180,"HEAL","300|60|180"
"HEAL_023",320,80,200,"HEAL","320|80|200"
"HEAL_025",250,10,130,"HEAL","250|10|130"
"HEAL_026",60,180,300,"HEAL","60|180|300"
"HEAL_045",160,280,40,"HEAL","160|280|40"
"HEAL_046",110,230,350,"HEAL","110|230|350"
"HEAL_047",170,290,50,"HEAL","170|290|50"
"HEAL_048",290,50,170,"HEAL","290|50|170"
"HEAL_049",50,170,290,"HEAL","50|170|290"
"HEAL_050",170,290,50,"HEAL","170|290|50"
"HEAL_051",290,50,170,"HEAL","290|50|170"
"HEAL_052",50,170,290,"HEAL","50|170|290"
"HEAL_053",300,60,180,"HEAL","300|60|180"
"HEAL_054",100,220,340,"HEAL","100|220|340"
"HEAL_055",310,70,190,"HEAL","310|70|190"
"HEAL_056",190,310,70,"HEAL","190|310|70"
"HEAL_057",60,180,300,"HEAL","60|180|300"
"HEAL_058",300,60,180,"HEAL","300|60|180"
"HEAL_059",150,270,30,"HEAL","150|270|30"
"HEAL_060",60,180,300,"HEAL","60|180|300"
"HEAL_061",300,60,180,"HEAL","300|60|180"
"HEAL_062",150,270,30,"HEAL","150|270|30"
"HEAL_063",110,230,350,"HEAL","110|230|350"
"HEAL_064",280,40,160,"HEAL","280|40|160"
"HEAL_065",310,70,190,"HEAL","310|70|190"
"HEAL_066",10,130,250,"HEAL","10|130|250"
"HEAL_067",50,170,290,"HEAL","50|170|290"
"HEAL_068",260,20,140,"HEAL","260|20|140"
"HEAL_069",120,240,0,"HEAL","120|240|0"
"HEAL_070",50,170,290,"HEAL","50|170|290"
"HEAL_071",260,20,140,"HEAL","260|20|140"
"HEAL_072",120,240,0,"HEAL","120|240|0"
"HEAL_073",230,350,110,"HEAL","230|350|110"
"HEAL_074",190,310,70,"HEAL","190|310|70"
"JERC_001",120,240,0,"JERC","120|240|0"
"JERC_002",330,90,210,"JERC","330|90|210"
"JERC_003",300,60,180,"JERC","300|60|180"
"JERC_004",270,30,150,"JERC","270|30|150"
"JERC_005",180,300,60,"JERC","180|300|60"
"JERC_006",350,110,230,"JERC","350|110|230"
"JERC_007",80,200,320,"JERC","80|200|320"
"JERC_008",110,230,350,"JERC","110|230|350"
"JERC_009",160,280,40,"JERC","160|280|40"
"JERC_010",80,200,320,"JERC","80|200|320"
"JERC_011",110,230,350,"JERC","110|230|350"
"JERC_012",160,280,40,"JERC","160|280|40"
"JERC_013",160,280,40,"JERC","160|280|40"
"JERC_014",160,280,40,"JERC","160|280|40"
"JERC_015",50,170,290,"JERC","50|170|290"
"JERC_016",200,320,80,"JERC","200|320|80"
"JERC_019",140,260,20,"JERC","140|260|20"
"JERC_028",60,180,300,"JERC","60|180|300"
