"","siteID","measuredBy","plotID","boutNumber","recordedBy","date","subplot","taxonID","taxonIDRemarks","identificationQualifier","morphospeciesID","morphoSpeciesRemarks","percentCover","remarks","moss","photoID"
"1:32","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.1","RUCH",NA,NA,NA,NA,0.5,"",NA,NA
"1:33","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.1","VAUL",NA,NA,NA,NA,5,"",NA,NA
"1:34","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.1","VAVI",NA,NA,NA,NA,7,"",NA,NA
"1:35","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.10","BETUL",NA,NA,NA,NA,NA,"BENA/BEGL",NA,NA
"1:36","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"32.4.10","EMNI",NA,NA,NA,NA,NA,"",NA,NA
"1:37","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","BETUL",NA,NA,NA,NA,4,"BENA/BEGL",NA,NA
"1:38","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","CABI5",NA,NA,NA,NA,3,"",NA,NA
"1:39","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","EMNI",NA,NA,NA,NA,2,"",NA,NA
"1:40","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","ERVA4",NA,NA,NA,NA,4,"",NA,NA
"1:41","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","LEPA11",NA,NA,NA,NA,3,"",NA,NA
"1:42","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","RUCH",NA,NA,NA,NA,0.5,"",NA,NA
"1:43","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","VAUL",NA,NA,NA,NA,4,"",NA,NA
"1:44","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.1.1","VAVI",NA,NA,NA,NA,3,"",NA,NA
"1:45","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.100","ANPO",NA,NA,NA,NA,NA,"",NA,NA
"1:46","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","CABI5",NA,NA,NA,NA,2,"",NA,NA
"1:47","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","EMNI",NA,NA,NA,NA,3,"",NA,NA
"1:48","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","ERVA4",NA,NA,NA,NA,4,"",NA,NA
"1:49","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","LEPA11",NA,NA,NA,NA,3,"",NA,NA
"1:50","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","RUCH",NA,NA,NA,NA,0.5,"",NA,NA
"1:51","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","VAUL",NA,NA,NA,NA,6,"",NA,NA
"1:52","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.1","VAVI",NA,NA,NA,NA,4,"",NA,NA
"1:53","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"40.3.10","BETUL",NA,NA,NA,NA,NA,"BENA/BEGL",NA,NA
"1:54","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","ANPO",NA,NA,NA,NA,0.5,"",NA,NA
"1:55","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","BETUL",NA,NA,NA,NA,2,"BENA/BEGL",NA,NA
"1:56","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","CABI5",NA,NA,NA,NA,3,"",NA,NA
"1:57","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","EMNI",NA,NA,NA,NA,3,"",NA,NA
"1:58","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","ERVA4",NA,NA,NA,NA,2,"",NA,NA
"1:59","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","LEPA11",NA,NA,NA,NA,3,"",NA,NA
"1:60","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","RUCH",NA,NA,NA,NA,1,"",NA,NA
"1:61","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","VAUL",NA,NA,NA,NA,3,"",NA,NA
"1:62","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.1.1","VAVI",NA,NA,NA,NA,3,"",NA,NA
"1:63","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","ANPO",NA,NA,NA,NA,0.5,"",NA,NA
"1:64","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","BETUL",NA,NA,NA,NA,3,"BENA/BEGL",NA,NA
"1:65","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","CABI5",NA,NA,NA,NA,2,"",NA,NA
"1:66","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","EMNI",NA,NA,NA,NA,0.5,"",NA,NA
"1:67","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","ERVA4",NA,NA,NA,NA,1,"",NA,NA
"1:68","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","LEPA11",NA,NA,NA,NA,2,"",NA,NA
"1:69","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","RUCH",NA,NA,NA,NA,1,"",NA,NA
"1:70","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","VAUL",NA,NA,NA,NA,5,"",NA,NA
"1:71","HEAL","kschroder@neoninc.org","HEAL_045","Characterization","aboyd@field-ops.org",20150611,"41.4.1","VAVI",NA,NA,NA,NA,6,"",NA,NA
"1:72","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","BETUL",NA,NA,NA,NA,14,"BENA/BEGL",NA,NA
"1:73","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","CABI5",NA,NA,NA,NA,2,"",NA,NA
"1:74","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","LEPA11",NA,NA,NA,NA,8,"",NA,NA
"1:75","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","PEFR5",NA,NA,NA,NA,0.5,"",NA,NA
"1:76","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","POACEA",NA,NA,NA,NA,0.5,"",NA,NA
"1:77","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","VAUL",NA,NA,NA,NA,13,"",NA,NA
"1:78","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.1","VAVI",NA,NA,NA,NA,13,"",NA,NA
"1:79","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.10","EMNI",NA,NA,NA,NA,NA,"",NA,NA
"1:80","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.1.10","SAPU15",NA,NA,NA,NA,NA,"",NA,NA
"1:81","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","ARAL2",NA,NA,NA,NA,NA,"",NA,NA
"1:82","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","ARLA2",NA,NA,NA,NA,NA,"",NA,NA
"1:83","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","CAST36",NA,NA,NA,NA,NA,"",NA,NA
"1:84","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","ERVA4",NA,NA,NA,NA,NA,"",NA,NA
"1:85","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","LOPR",NA,NA,NA,NA,NA,"",NA,NA
"1:86","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","PIGL",NA,NA,NA,NA,NA,"",NA,NA
"1:87","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.100","SAGL",NA,NA,NA,NA,NA,"",NA,NA
"1:88","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","BETUL",NA,NA,NA,NA,16,"BENA/BEGL",NA,NA
"1:89","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","CABI5",NA,NA,NA,NA,2,"",NA,NA
"1:90","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","LEPA11",NA,NA,NA,NA,20,"",NA,NA
"1:91","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","POACEA",NA,NA,NA,NA,0.5,"",NA,NA
"1:92","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","RUCH",NA,NA,NA,NA,4,"",NA,NA
"1:93","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","SPST3",NA,NA,NA,NA,1,"",NA,NA
"1:94","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","VAUL",NA,NA,NA,NA,6,"",NA,NA
"1:95","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.1","VAVI",NA,NA,NA,NA,4,"",NA,NA
"1:96","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.10","EMNI",NA,NA,NA,NA,NA,"",NA,NA
"1:97","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.10","PEFR5",NA,NA,NA,NA,NA,"",NA,NA
"1:98","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"31.4.10","SAPU15",NA,NA,NA,NA,NA,"",NA,NA
"1:99","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.1.10","EMNI",NA,NA,NA,NA,NA,"",NA,NA
"1:100","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.1.10","POACEA",NA,NA,NA,NA,NA,"",NA,NA
"1:101","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.1.10","RUCH",NA,NA,NA,NA,NA,"",NA,NA
"1:102","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.1.10","SAPU15",NA,NA,NA,NA,NA,"",NA,NA
"1:103","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.1.10","SPST3",NA,NA,NA,NA,NA,"",NA,NA
"1:104","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.100","ARLA2",NA,NA,NA,NA,NA,"",NA,NA
"1:105","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.100","PIGL",NA,NA,NA,NA,NA,"",NA,NA
"1:106","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.100","PIMA",NA,NA,NA,NA,NA,"",NA,NA
"1:107","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.100","SAGL",NA,NA,NA,NA,NA,"",NA,NA
"1:108","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.2.1","BETUL",NA,NA,NA,NA,21,"BENA/BEGL",NA,NA
"1:109","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.2.1","CABI5",NA,NA,NA,NA,1,"",NA,NA
"1:110","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.2.1","LEPA11",NA,NA,NA,NA,12,"",NA,NA
"1:111","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.2.1","VAUL",NA,NA,NA,NA,12,"",NA,NA
"1:112","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.2.1","VAVI",NA,NA,NA,NA,13,"",NA,NA
"1:113","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","BETUL",NA,NA,NA,NA,8,"BENA/BEGL",NA,NA
"1:114","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","CABI5",NA,NA,NA,NA,2,"",NA,NA
"1:115","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","EMNI",NA,NA,NA,NA,12,"",NA,NA
"1:116","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","LEPA11",NA,NA,NA,NA,10,"",NA,NA
"1:117","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","RUCH",NA,NA,NA,NA,2,"",NA,NA
"1:118","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","VAOX",NA,NA,NA,NA,0.5,"",NA,NA
"1:119","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","VAUL",NA,NA,NA,NA,2,"",NA,NA
"1:120","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.1","VAVI",NA,NA,NA,NA,18,"",NA,NA
"1:121","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.10","CAST36",NA,NA,NA,NA,NA,"",NA,NA
"1:122","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.10","SAPU15",NA,NA,NA,NA,NA,"",NA,NA
"1:123","HEAL","kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"32.4.10","SPST3",NA,NA,NA,NA,NA,"",NA,NA
"1:124","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.1","BETUL",NA,NA,NA,NA,6,"BENA/BEGL",NA,NA
"1:125","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.1","CABI5",NA,NA,NA,NA,1,"",NA,NA
"1:126","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.1","EMNI",NA,NA,NA,NA,3,"",NA,NA
"1:127","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.1","LEPA11",NA,NA,NA,NA,25,"",NA,NA
"1:128","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.1","VAUL",NA,NA,NA,NA,13,"",NA,NA
"1:129","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.1","VAVI",NA,NA,NA,NA,20,"",NA,NA
"1:130","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.10","ERVA4",NA,NA,NA,NA,NA,"",NA,NA
"1:131","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.10","PEFR5",NA,NA,NA,NA,NA,"",NA,NA
"1:132","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.10","RUCH",NA,NA,NA,NA,NA,"",NA,NA
"1:133","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.1.10","SAPU15",NA,NA,NA,NA,NA,"",NA,NA
"1:134","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.100","ARAL2",NA,NA,NA,NA,NA,"",NA,NA
"1:135","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.100","SPST3",NA,NA,NA,NA,NA,"",NA,NA
"1:136","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","BETUL",NA,NA,NA,NA,1,"BENA/BEGL",NA,NA
"1:137","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","CABI5",NA,NA,NA,NA,3,"",NA,NA
"1:138","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","LEPA11",NA,NA,NA,NA,10,"",NA,NA
"1:139","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","PEFR5",NA,NA,NA,NA,2,"",NA,NA
"1:140","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","POACEA",NA,NA,NA,NA,0.5,"",NA,NA
"1:141","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","VAUL",NA,NA,NA,NA,6,"",NA,NA
"1:142","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.1","VAVI",NA,NA,NA,NA,8,"",NA,NA
"1:143","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.10","CAST36",NA,NA,NA,NA,NA,"",NA,NA
"1:144","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.10","EMNI",NA,NA,NA,NA,NA,"",NA,NA
"1:145","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.10","PIGL",NA,NA,NA,NA,NA,"",NA,NA
"1:146","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.10","SAGL",NA,NA,NA,NA,NA,"",NA,NA
"1:147","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"40.3.10","SAPU15",NA,NA,NA,NA,NA,"",NA,NA
"1:148","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","BETUL",NA,NA,NA,NA,30,"BENA/BEGL",NA,NA
"1:149","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","CABI5",NA,NA,NA,NA,1,"",NA,NA
"1:150","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","CAST36",NA,NA,NA,NA,0.5,"",NA,NA
"1:151","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","LEPA11",NA,NA,NA,NA,22,"",NA,NA
"1:152","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","PEFR5",NA,NA,NA,NA,1,"",NA,NA
"1:153","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","POACEA",NA,NA,NA,NA,0.5,"",NA,NA
"1:154","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","VAUL",NA,NA,NA,NA,31,"",NA,NA
"1:155","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.1","VAVI",NA,NA,NA,NA,2,"",NA,NA
"1:156","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.10","ARLA2",NA,NA,NA,NA,NA,"",NA,NA
"1:157","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.10","PIGL",NA,NA,NA,NA,NA,"",NA,NA
"1:158","HEAL","Kschroder@neoninc.org","HEAL_046","Characterization","mgrandfield@field-ops.org",20150626,"41.1.10","SAGL",NA,NA,NA,NA,NA,"",NA,NA
