"","siteID","plotID","boutNumber","measuredBy","recordedBy","entered.by","date","subplot","taxonID","Check52","taxonIDRemarks","identificationQualifier","morphospeciesID","morphoSpeciesRemarks","percentCover","remarks","moss...cover","photoID","X"
"1:15","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","VAUL",NA,"","","","",8,"",NA,NA,NA
"1:16","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","SAPU15",NA,"","","","",5,"",NA,NA,NA
"1:17","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","BETUL",NA,"CS","","BENA/BEGL","",4,"",NA,NA,NA
"1:18","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","ANPO",NA,"","","","",6,"",NA,NA,NA
"1:19","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","CATE11",NA,"","","","",7,"",NA,NA,NA
"1:20","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","BIVI2",NA,"","","","",0.5,"",NA,NA,NA
"1:21","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","POBI5",NA,"","","","",2,"",NA,NA,NA
"1:22","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","ARLA2",NA,"","","","",1,"",NA,NA,NA
"1:23","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","PYGR",NA,"","","","",0.5,"",NA,NA,NA
"1:24","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.4.1","SAAN3",NA,"","","","",0.5,"",NA,NA,NA
"1:25","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","EQSC",NA,"","","","",NA,"",NA,NA,NA
"1:26","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","DRIN4",NA,"","","","",NA,"",NA,NA,NA
"1:27","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","LAGLM",NA,"","","","",NA,"",NA,NA,NA
"1:28","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","POAR2",NA,"CS","","","",NA,"",NA,NA,NA
"1:29","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","PELA14",NA,"","","","",NA,"",NA,NA,NA
"1:30","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","CAST36",NA,"","","","",NA,"",NA,NA,NA
"1:31","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","STLO2",NA,"","","","",NA,"",NA,NA,NA
"1:32","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"31.1","SAFU",NA,"","","","",NA,"",NA,NA,NA
"1:33","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","CAREX",NA,"CS","","CAPE8/CAME4","",40,"",NA,NA,NA
"1:34","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","CATE11",NA,"","","","",20,"",NA,NA,NA
"1:35","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","VAUL",NA,"","","","",8,"",NA,NA,NA
"1:36","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","SARE2",NA,"","","","",15,"",NA,NA,NA
"1:37","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","PEFR5",NA,"","","","",15,"",NA,NA,NA
"1:38","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","POAR2",NA,"CS","","","",0.5,"",NA,NA,NA
"1:39","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","SAPU15",NA,"","","","",5,"",NA,NA,NA
"1:40","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","VAVI",NA,"","","","",3,"",NA,NA,NA
"1:41","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","PYGR",NA,"","","","",0.5,"",NA,NA,NA
"1:42","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","EQSC",NA,"","","","",0.5,"",NA,NA,NA
"1:43","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","EQAR",NA,"","","","",0.5,"",NA,NA,NA
"1:44","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.2.1","ARAN5",NA,"","","","",0.5,"",NA,NA,NA
"1:45","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","CAREX",NA,"CS","","CAPE8/CAME4","",40,"",NA,NA,NA
"1:46","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","SAPU15",NA,"","","","",6,"",NA,NA,NA
"1:47","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","CATE11",NA,"","","","",20,"",NA,NA,NA
"1:48","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","VAVI",NA,"","","","",5,"",NA,NA,NA
"1:49","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","SARE2",NA,"","","","",5,"",NA,NA,NA
"1:50","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","EQSC",NA,"","","","",0.5,"",NA,NA,NA
"1:51","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","PEFR5",NA,"","","","",3,"",NA,NA,NA
"1:52","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","PYGR",NA,"","","","",1,"",NA,NA,NA
"1:53","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","ANPO",NA,"","","","",3,"",NA,NA,NA
"1:54","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","DRIN4",NA,"","","","",0.5,"",NA,NA,NA
"1:55","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","ARAN5",NA,"","","","",0.5,"",NA,NA,NA
"1:56","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","VAUL",NA,"","","","",0.5,"",NA,NA,NA
"1:57","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","BETUL",NA,"CS","","BENA/BEGL","",0.5,"",NA,NA,NA
"1:58","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.4.1","CAHY8",NA,"","","","",0.5,"",NA,NA,NA
"1:59","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","SAAN3",NA,"","","","",NA,"",NA,NA,NA
"1:60","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","EQAR",NA,"","","","",NA,"",NA,NA,NA
"1:61","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","PECA2",NA,"","","","",NA,"",NA,NA,NA
"1:62","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","POBI5",NA,"","","","",NA,"",NA,NA,NA
"1:63","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","ARLA2",NA,"","","","",NA,"",NA,NA,NA
"1:64","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","PELA14",NA,"","","","",NA,"",NA,NA,NA
"1:65","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","LAGLM",NA,"","","","",NA,"",NA,NA,NA
"1:66","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","TOPU",NA,"","","","",NA,"",NA,NA,NA
"1:67","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","ARLE2",NA,"","","","",NA,"",NA,NA,NA
"1:68","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","SAFU",NA,"","","","",NA,"",NA,NA,NA
"1:69","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","SANE3",NA,"","","","",NA,"",NA,NA,NA
"1:70","TOOL","TOOL_10968","CHARACTERIZATION","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","BIVI2",NA,"","","","",NA,"",NA,NA,NA
"1:71","TOOL","TOOL_10968","Characterization","SROBERTS@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"32.1","ARAN5",NA,"","","","",NA,"",NA,NA,NA
"1:72","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","PEFR5",NA,"","","","",7,"",NA,NA,NA
"1:73","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","BETUL",NA,"CS","","BENA/BEGL","",4,"",NA,NA,NA
"1:74","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","SARE2",NA,"","","","",5,"",NA,NA,NA
"1:75","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","CATE11",NA,"","","","",10,"",NA,NA,NA
"1:76","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","SAPU15",NA,"","","","",2,"",NA,NA,NA
"1:77","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","ANPO",NA,"","","","",6,"",NA,NA,NA
"1:78","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","PELA14",NA,"","","","",2,"",NA,NA,NA
"1:79","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","VAUL",NA,"","","","",7,"",NA,NA,NA
"1:80","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","POBI5",NA,"","","","",0.5,"",NA,NA,NA
"1:81","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","VAVI",NA,"","","","",2,"",NA,NA,NA
"1:82","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","CAREX",NA,"CS","","CAPE8/CAME4","",25,"",NA,NA,NA
"1:83","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","CAST36",NA,"","","","",0.5,"",NA,NA,NA
"1:84","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1.1","PYGR",NA,"","","","",0.5,"",NA,NA,NA
"1:85","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","SAPU15",NA,"","","","",10,"",NA,NA,NA
"1:86","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","CAST36",NA,"","","","",4,"",NA,NA,NA
"1:87","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","CAREX",NA,"CS","","CAPE8/CAME4","",7,"",NA,NA,NA
"1:88","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","PEFR5",NA,"","","","",2,"",NA,NA,NA
"1:89","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","CATE11",NA,"","","","",10,"",NA,NA,NA
"1:90","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","ANPO",NA,"","","","",11,"",NA,NA,NA
"1:91","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","VAVI",NA,"","","","",11,"",NA,NA,NA
"1:92","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","BETUL",NA,"CS","","BENA/BEGL","",4,"",NA,NA,NA
"1:93","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","PYGR",NA,"","","","",0.5,"",NA,NA,NA
"1:94","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","CABE",NA,"","","","",0.5,"",NA,NA,NA
"1:95","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.3.1","SAAN3",NA,"","","","",0.5,"",NA,NA,NA
"1:96","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","ARLA2",NA,"","","","",NA,"",NA,NA,NA
"1:97","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","POAR2",NA,"CS","","","",NA,"",NA,NA,NA
"1:98","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","SAFU",NA,"","","","",NA,"",NA,NA,NA
"1:99","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","POBI5",NA,"","","","",NA,"",NA,NA,NA
"1:100","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","ARLE2",NA,"","","","",NA,"",NA,NA,NA
"1:101","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","LAGLM",NA,"","","","",NA,"",NA,NA,NA
"1:102","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","BIVI2",NA,"","","","",NA,"",NA,NA,NA
"1:103","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"40.1","SANE3",NA,"","","","",NA,"",NA,NA,NA
"1:104","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","CAREX",NA,"CS","","CAPE8/CAME4","",25,"",NA,NA,NA
"1:105","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","LEPAD",NA,"","","","",2,"",NA,NA,NA
"1:106","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","ANPO",NA,"","","","",15,"",NA,NA,NA
"1:107","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","CATE11",NA,"","","","",10,"",NA,NA,NA
"1:108","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","PEFR5",NA,"","","","",7,"",NA,NA,NA
"1:109","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","BETUL",NA,"CS","","BENA/BEGL","",8,"",NA,NA,NA
"1:110","TOOL","TOOL_10968","CHARACTERIZATION","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","SAPU15",NA,"","","","",8,"",NA,NA,NA
"1:111","TOOL","TOOL_10968","Characterization","MHARRIS@FIELD-OPS.ORG","AMAU@FIELD-OPS.ORG","AGUTTING@FIELD-OPS.ORG",20150717,"41.1.1","SARE2",NA,"","","","",1,"",NA,NA,NA
