mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules,notes,annualTowerVst
514,BARR_035,BARR,emergentHerbaceousWetlands,distributed,basePlot,,,NA
562,BARR_036,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
562,BARR_036,BARR,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
626,BARR_037,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
626,BARR_037,BARR,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
626,BARR_037,BARR,sedgeHerbaceous,distributed,tickPlot,tck,,NA
627,BARR_038,BARR,sedgeHerbaceous,distributed,birdGrid,brd,,NA
627,BARR_038,BARR,sedgeHerbaceous,distributed,basePlot,,,NA
627,BARR_038,BARR,sedgeHerbaceous,distributed,mammalGrid,,,NA
818,BARR_039,BARR,sedgeHerbaceous,distributed,birdGrid,brd,,NA
888,BARR_040,BARR,emergentHerbaceousWetlands,distributed,birdGrid,,,NA
242,BARR_041,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
642,BARR_042,BARR,emergentHerbaceousWetlands,distributed,mosquitoPoint,mos|mpt,,NA
962,BARR_043,BARR,emergentHerbaceousWetlands,distributed,mosquitoPoint,mos|mpt,,NA
1907,BARR_044,BARR,sedgeHerbaceous,distributed,mosquitoPoint,,,NA
1907,BARR_044,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
1907,BARR_044,BARR,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
2628,BARR_045,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
2675,BARR_046,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
3315,BARR_047,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
4802,BARR_048,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
4867,BARR_049,BARR,sedgeHerbaceous,distributed,mosquitoPoint,,,NA
4867,BARR_049,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
5188,BARR_050,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
116,BARR_051,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
628,BARR_052,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
1140,BARR_053,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
712,TOOL_041,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
1736,TOOL_042,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
5832,TOOL_043,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
153,BONA_070,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
409,BONA_071,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
10393,BONA_080,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
36,DEJU_045,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
740,DEJU_046,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
932,DEJU_047,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
21,HEAL_001,HEAL,dwarfScrub,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
21,HEAL_001,HEAL,dwarfScrub,distributed,birdGrid,brd,,NA
21,HEAL_001,HEAL,dwarfScrub,distributed,tickPlot,tck,,NA
1894,UNDE_037,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
1958,UNDE_038,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
2918,UNDE_043,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
2292,BARR_054,BARR,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,
6872,TOOL_044,TOOL,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,
27033,BONA_084,BONA,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,Y
1316,DEJU_048,DEJU,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,Y
29,HEAL_002,HEAL,dwarfScrub,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
2982,UNDE_044,UNDE,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,Y
665,BONA_072,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,Y
1689,BONA_073,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,Y
2713,BONA_074,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3481,BONA_075,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3737,BONA_076,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
6809,BONA_077,BONA,,tower,basePlot,all|bbc|cdw|cfc|dhp|hbp|ltr|vst,,
3828,BARR_081,BARR,,tower,phenology,phe,,NA
81524,BARR_082,BARR,,tower,phenology,phe,,NA
631,BARR_083,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
631,BARR_083,BARR,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
1651,BARR_084,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
1651,BARR_084,BARR,sedgeHerbaceous,distributed,tickPlot,tck,,NA
1651,BARR_084,BARR,sedgeHerbaceous,distributed,mammalGrid,mam,,NA
4339,BARR_085,BARR,sedgeHerbaceous,distributed,basePlot,all|bet,,NA
13171,BARR_086,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
7927,BARR_087,BARR,sedgeHerbaceous,distributed,mosquitoPoint,mos|mpt,,NA
2,BLAN_001,BLAN,deciduousForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
2,BLAN_001,BLAN,deciduousForest,distributed,mammalGrid,mam,,NA
8,BLAN_002,BLAN,pastureHay,distributed,mammalGrid,,,NA
8,BLAN_002,BLAN,pastureHay,distributed,tickPlot,,,NA
8,BLAN_002,BLAN,pastureHay,distributed,basePlot,,,NA
9,BLAN_003,BLAN,pastureHay,distributed,mammalGrid,mam,,NA
9,BLAN_003,BLAN,pastureHay,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
18,BLAN_004,BLAN,pastureHay,distributed,tickPlot,tck,,NA
18,BLAN_004,BLAN,pastureHay,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
20,BLAN_005,BLAN,deciduousForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
20,BLAN_005,BLAN,deciduousForest,distributed,tickPlot,tck,,NA
25,BLAN_006,BLAN,pastureHay,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
25,BLAN_006,BLAN,pastureHay,distributed,mammalGrid,mam,,NA
36,BLAN_007,BLAN,deciduousForest,distributed,basePlot,all|bet|bgc|brd|cdw|cfc|dhp|div|hbp|sme|vst,,NA
55,BLAN_008,BLAN,pastureHay,distributed,tickPlot,tck,,NA
55,BLAN_008,BLAN,pastureHay,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
66,BLAN_009,BLAN,deciduousForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
66,BLAN_009,BLAN,deciduousForest,distributed,mammalGrid,mam,,NA
82,BLAN_010,BLAN,pastureHay,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
84,BLAN_011,BLAN,deciduousForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
89,BLAN_012,BLAN,deciduousForest,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
89,BLAN_012,BLAN,deciduousForest,distributed,tickPlot,tck,,NA
119,BLAN_013,BLAN,deciduousForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
121,BLAN_014,BLAN,pastureHay,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
130,BLAN_015,BLAN,deciduousForest,distributed,basePlot,all|brd|cdw|cfc|dhp|div|hbp|vst,,NA
130,BLAN_015,BLAN,deciduousForest,distributed,tickPlot,tck,,NA
146,BLAN_016,BLAN,pastureHay,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
148,BLAN_017,BLAN,deciduousForest,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
153,BLAN_018,BLAN,deciduousForest,distributed,basePlot,all|brd|cfc|cdw|dhp|div|hbp|vst,,NA
164,BLAN_019,BLAN,pastureHay,distributed,basePlot,all|brd|cfc|cdw|dhp|div|hbp|vst,,NA
192,BLAN_020,BLAN,pastureHay,distributed,basePlot,all|cfc|cdw|dhp|div|hbp|vst,,NA
192,BLAN_020,BLAN,pastureHay,distributed,tickPlot,tck,,NA
212,BLAN_021,BLAN,deciduousForest,distributed,mosquitoPoint,,,NA
244,BLAN_022,BLAN,pastureHay,distributed,mosquitoPoint,mos|mpt,,NA
249,BLAN_023,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
258,BLAN_024,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
356,BLAN_025,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
521,BLAN_026,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
608,BLAN_027,BLAN,deciduousForest,distributed,mosquitoPoint,mos|mpt,,NA
624,BLAN_028,BLAN,pastureHay,distributed,mosquitoPoint,,,NA
1145,BLAN_029,BLAN,pastureHay,distributed,mosquitoPoint,mos|mpt,,NA
2800,BLAN_030,BLAN,pastureHay,distributed,mosquitoPoint,,,NA
26,BLAN_031,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
90,BLAN_032,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,Y
282,BLAN_033,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst,,
474,BLAN_034,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,
858,BLAN_035,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,Y
1054,BLAN_036,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,Y
1498,BLAN_037,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,
1562,BLAN_038,BLAN,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,,
1626,BLAN_039,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
2074,BLAN_040,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,
2078,BLAN_041,BLAN,,tower,basePlot,,,
2394,BLAN_042,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
2842,BLAN_043,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,
2970,BLAN_044,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,Y
3098,BLAN_045,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
3674,BLAN_046,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
4682,BLAN_047,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|hbp|ltr|vst,,Y
5038,BLAN_048,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
5402,BLAN_049,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
5466,BLAN_050,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
5914,BLAN_051,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
6042,BLAN_052,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
6234,BLAN_053,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
6746,BLAN_054,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
6810,BLAN_055,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
7514,BLAN_056,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
7626,BLAN_057,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
7642,BLAN_058,BLAN,,tower,basePlot,,,
8026,BLAN_059,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
8730,BLAN_060,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
3226,BLAN_061,BLAN,,tower,phenology,phe,,NA
12446,BLAN_062,BLAN,,tower,phenology,phe,,NA
9034,BLAN_063,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
9242,BLAN_064,BLAN,,tower,basePlot,all|bbc|cfc|cdw|dhp|ltr|vst,,
1753,BLAN_065,BLAN,pastureHay,distributed,mosquitoPoint,mos|mpt,,NA
1,CPER_001,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
1,CPER_001,CPER,grasslandHerbaceous,distributed,tickPlot,tck,,NA
2,CPER_002,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
2,CPER_002,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
2,CPER_002,CPER,grasslandHerbaceous,distributed,tickPlot,tck,,NA
18,CPER_003,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
18,CPER_003,CPER,grasslandHerbaceous,distributed,tickPlot,tck,,NA
21,CPER_004,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
21,CPER_004,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
21,CPER_004,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
21,CPER_004,CPER,grasslandHerbaceous,distributed,tickPlot,tck,,NA
22,CPER_005,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
22,CPER_005,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
22,CPER_005,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
22,CPER_005,CPER,grasslandHerbaceous,distributed,tickPlot,tck,,NA
30,CPER_006,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|bgc|cdw|cfc|dhp|div|hbp|sme|vst,,NA
30,CPER_006,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
33,CPER_007,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
33,CPER_007,CPER,grasslandHerbaceous,distributed,tickPlot,tck,,NA
39,CPER_008,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
39,CPER_008,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
39,CPER_008,CPER,grasslandHerbaceous,distributed,tickPlot,,,NA
62,CPER_009,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
62,CPER_009,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
62,CPER_009,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
65,CPER_010,CPER,grasslandHerbaceous,distributed,basePlot,all|bet|cdw|cfc|dhp|div|hbp|vst,,NA
65,CPER_010,CPER,grasslandHerbaceous,distributed,tickPlot,,,NA
70,CPER_011,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
70,CPER_011,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
70,CPER_011,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
70,CPER_011,CPER,grasslandHerbaceous,distributed,tickPlot,,,NA
78,CPER_012,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
78,CPER_012,CPER,grasslandHerbaceous,distributed,tickPlot,,,NA
82,CPER_013,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
85,CPER_014,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
85,CPER_014,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
86,CPER_015,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
86,CPER_015,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
86,CPER_015,CPER,grasslandHerbaceous,distributed,mammalGrid,mam,,NA
94,CPER_016,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|cfc|dhp|div|hbp|vst,,NA
94,CPER_016,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
94,CPER_016,CPER,grasslandHerbaceous,distributed,mammalGrid,,,NA
97,CPER_017,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
101,CPER_018,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
101,CPER_018,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
110,CPER_019,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
111,CPER_020,CPER,grasslandHerbaceous,distributed,basePlot,all|cdw|dhp|div|hbp|vst,,NA
118,CPER_021,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
129,CPER_022,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
130,CPER_023,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
146,CPER_024,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
149,CPER_025,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
158,CPER_026,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
162,CPER_027,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
167,CPER_028,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
174,CPER_029,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
174,CPER_029,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
180,CPER_030,CPER,grasslandHerbaceous,distributed,basePlot,all|div,,NA
210,CPER_031,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
213,CPER_032,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
222,CPER_033,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
230,CPER_034,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
239,CPER_035,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
246,CPER_036,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
246,CPER_036,CPER,grasslandHerbaceous,distributed,birdGrid,brd,,NA
257,CPER_037,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
258,CPER_038,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
274,CPER_039,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
277,CPER_040,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
278,CPER_041,CPER,grasslandHerbaceous,distributed,basePlot,,,NA
390,CPER_042,CPER,grasslandHerbaceous,distributed,birdGrid,,,NA
406,CPER_043,CPER,grasslandHerbaceous,distributed,birdGrid,,,NA
414,CPER_044,CPER,grasslandHerbaceous,distributed,birdGrid,,,NA
2078,CPER_045,CPER,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|ltr|sme|vst,,
3102,CPER_046,CPER,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|ltr|sme|vst,,
8510,CPER_047,CPER,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|div|ltr|sme|vst,,
10558,CPER_048,CPER,,tower,basePlot,all|bbc|bgc|cdw|cfc|dhp|ltr|sme|vst,,
12482,CPER_049,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
13746,CPER_050,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
14366,CPER_051,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
15390,CPER_052,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
18462,CPER_053,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
20798,CPER_054,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
24894,CPER_055,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
27678,CPER_056,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
28866,CPER_057,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
28990,CPER_058,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
30750,CPER_059,CPER,,tower,basePlot,all|bbc|cdw|dhp|hbp|ltr|vst,,
31774,CPER_060,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
34846,CPER_061,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
35870,CPER_062,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
37182,CPER_063,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
41278,CPER_064,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
42418,CPER_065,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
43038,CPER_066,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
46514,CPER_067,CPER,,tower,basePlot,all|bbc|cdw|dhp|ltr|vst,,
