table,DPNumber,dpID,fieldName,description,dataType,units,entryValidationRules,noDataOutcomePDA,noDataOutcomeUI,defaultValuePDA,defaultValueUI,exampleEntry,case,lovName,warningText,DPNumberOld
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00013.001.001.001,NEON.DOM.SITE.DP0.10004,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,"Conditional: if (divDataType is 'plantSpecies' & if targetTaxonPresent='Y'): lookup table, else: null",pass,pass,no data,no data,cf. species,lower,Identification Qualifiers,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00125.001.001.001,NEON.DOM.SITE.DP0.10004,taxonIDRemarks,Technician notes about the specific taxon; free text comments accompanying the record.,string,NA,if taxonID is null: null ,pass,pass,no data,no data,Blister rust,asEntered,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00081.001.001.001,NEON.DOM.SITE.DP0.10004,morphospeciesID,Identifier for morphospecies,string,NA,Conditional: if divDataType = 'otherVariables': null,pass,pass,no data,no data,curlyHairSpiker,,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00126.001.001.001,NEON.DOM.SITE.DP0.10004,otherVariables,"Descriptor of other variables present in the sample, including abiotic, biotic, and non-vascular plant cover",string,NA,Conditional: if (divDataType = 'otherVariables'  & targetVariablesPresent = 'Y'): 'soil' | 'rock' | 'wood' | 'litter' | 'standingDead' | 'water' | 'lichen' | 'moss' | 'otherNonVascular' | 'scat' | 'overstory' ; else: null,Conditional: if (divDataType = 'otherVariables'  & targetVariablesPresent = 'Y'): fail; else: pass,Conditional: if (divDataType = 'otherVariables'  & targetVariablesPresent = 'Y'): warn; else: pass,no data,no data,rock,lower,div.otherVariables,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00108.001.001.001,NEON.DOM.SITE.DP0.10004,percentCover,"Ocular estimate of cover of the index (e.g., species)",real,percent,0.5-100,"Conditional: if targetTaxaPresent OR if targetVariablesPresent = 'Y': fail, else: pass ","Conditional: if targetTaxaPresent OR if targetVariablesPresent = 'Y': warn, else: pass ",no data,no data,15,,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00127.001.001.001,NEON.DOM.SITE.DP0.10004,heightPlantOver300cm,Indicator of whether individuals of the species in the sample are taller than 300 cm,string,NA,Conditional: if (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y'): 'Y' | 'N' else: null,"Conditional: if (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y'): fail, else: pass","Conditional: if (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y'): warn, else: pass",no data,no data,Y,upper,div.heightPlantOver300cm,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00128.001.001.001,NEON.DOM.SITE.DP0.10004,heightPlantSpecies,Ocular estimate of the height of the plant species ,unsigned integer,centimeter,"Conditional: If (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y' & heightPlantOver300cm = 'N'): 0-300, else: null",Conditional: If (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y' & heightPlantOver300cm = 'N'): fail; else: pass,"Conditional: If (divDataType is 'plantSpecies' & targetTaxonPresent = 'Y' & heightPlantOver300cm = 'N'): warn, else: pass",no data,no data,56,,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00066.001.001.001,NEON.DOM.SITE.DP0.10004,boutNumber,"Number of the sampling bout within a calendar year, beginning with 1",unsigned integer,NA,1 | 2 | 3,fail,fail,previous value,previous value,1,,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,,NEON.DOM.SITE.DP0.10004,date,"Date or date and time of measurement, observation, or collection event",date,NA,20130601 < date <= system dateTime,fail,fail,previous value,previous value,date,,,,
div_1m2Data_in,,NEON.DOM.SITE.DP0.10004,samplingProtocol,The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######v?,string,NA,NEON.DOC.######vX,fail,warn,previous value,previous value,NEON.DOC.014042vC,upper,,,
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00007.001.001.001,NEON.DOM.SITE.DP0.10004,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used.",string,NA,NA,pass,pass,no data,no data,"Flora of Colorado, Weber 1996",lower,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00037.001.001.001,NEON.DOM.SITE.DP0.10004,measuredBy,An identifier for the technician who measured or collected the data.,string,NA,Typeahead (populated by Maximo),fail,warn,previous value,previous value,kthibault,lower,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00038.001.001.001,NEON.DOM.SITE.DP0.10004,recordedBy,An identifier for the technician who recorded the data.,string,NA,Typeahead (populated by Maximo),fail,warn,previous value,previous value,selmendorf,lower,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00065.001.001.001,NEON.DOM.SITE.DP0.10004,enteredBy,An identifier for the technician who entered the data.,string,NA,Typeahead (populated by Maximo),NA,fail,NA,NA,ymama,lower,,,NEON.DOM.SIT.DP0.10004
div_1m2Data_in,NEON.DOM.SITE.DP0.10004.001.00008.001.001.001,NEON.DOM.SITE.DP0.10004,remarks,Technician notes; free text comments accompanying the record.,string,NA,NA,pass,pass,previous value,previous value,Plot likely burned within last year,asEntered,,,NEON.DOM.SIT.DP0.10004
div_morphospecies_in,NEON.DOM.SITE.DP0.10004.001.00081.002.001.001,NEON.DOM.SITE.DP0.10004,morphospeciesID,Identifier for morphospecies,string,NA,Conditional: if divDataType = 'otherVariables': null,pass,pass,no data,no data,curlyHairSpiker,,,,NEON.DOM.SIT.DP0.10004
div_morphospecies_in,NEON.DOM.SITE.DP0.10004.001.00129.002.001.001,NEON.DOM.SITE.DP0.10004,morphospeciesIDRemarks,Technician notes about the morphospecies; free text comments accompanying the record.,string,NA,Conditional: if morphospeciesID Is Null: null,pass,pass,no data,no data,Purple papus,asEntered,,,NEON.DOM.SIT.DP0.10004
div_morphospecies_in,NEON.DOM.SITE.DP0.10004.001.00037.002.001.001,NEON.DOM.SITE.DP0.10004,measuredBy,An identifier for the technician who measured or collected the data.,string,NA,Typeahead (populated by Maximo),fail,warn,previous value,previous value,kthibault,lower,,,NEON.DOM.SIT.DP0.10004
div_morphospecies_in,,NEON.DOM.SITE.DP0.10004,date,"Date or date and time of measurement, observation, or collection event",date,NA,20130601 < date <= system dateTime,fail,fail,previous value,previous value,date,,,,
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00001.003.001.001,NEON.DOM.SITE.DP0.10004,uid,Unique ID within NEON database; an identifier for the record.,string,NA,NA,NA,NA,NA,NA,,,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,,NEON.DOM.SITE.DP0.10004,domainID,Unique identifier of the NEON domain,string,NA,LHDD,fail,fail,previous value,previous value,D10,upper,,,
div_10m2Data100m2Data_in,,NEON.DOM.SITE.DP0.10004,siteID,NEON site code,string,NA,LHDD,fail,fail,previous value,previous value,CPER,upper,,,
div_10m2Data100m2Data_in,,NEON.DOM.SITE.DP0.10004,plotID,Plot identifier (NEON site code_XXX),string,NA,LHDD,fail,fail,previous value,previous value,CPER_001,upper,,,
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00122.003.001.001,NEON.DOM.SITE.DP0.10004,subplotID,Identifier for the NEON subplot,string,NA, '31.1.10' | '31.4.10' | '32.2.10' | '32.4.10' | '40.1.10' | '40.3.10' | '41.1.10' | '41.4.10' | '31' | '32' | '40' | '41',fail,fail,previous value,previous value,32.2.10,,div.subplotID,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00077.003.001.001,NEON.DOM.SITE.DP0.10004,targetTaxaPresent,Indicator of whether the sample contained individuals of the target taxa,string,NA,Y'|'N',fail,warn,NA,no data,Y,upper,targetTaxaPresent,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00012.003.001.001,NEON.DOM.SITE.DP0.10004,taxonID,"Species code, based on one or more sources",string,NA,"Conditional: if targetTaxaPresent='Y': lookup table, else: null","Conditional: if targetTaxaPresent='Y': fail, else:pass ","Conditional: if targetTaxaPresent='Y': warn, else:pass ",no data,no data,BRTE,upper,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00080.003.001.001,NEON.DOM.SITE.DP0.10004,acceptedTaxonID,"Accepted species code, based on one or more sources",string,NA,lookup table. value'is in 'accepted symbol' column in 'L_plant_species_list' tab,NA,NA,NA,NA,BRTE,upper,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00013.003.001.001,NEON.DOM.SITE.DP0.10004,identificationQualifier,A standard term to express the determiner's doubts about the Identification,string,NA,"Conditional: if targetTaxaPresent='Y': lookup table, else: null",pass,pass,no data,no data,cf. species,lower,Identification Qualifiers,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00125.003.001.001,NEON.DOM.SITE.DP0.10004,taxonIDRemarks,Technician notes about the specific taxon; free text comments accompanying the record.,string,NA,if taxonID Is Null: null ,pass,pass,no data,no data,Blister rust,asEntered,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00081.003.001.001,NEON.DOM.SITE.DP0.10004,morphospeciesID,Identifier for morphospecies,string,NA,Conditional: if divDataType = 'otherVariables': null,pass,pass,no data,no data,curlyHairSpiker,,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00066.003.001.001,NEON.DOM.SITE.DP0.10004,boutNumber,"Number of the sampling bout within a calendar year, beginning with 1",unsigned integer,NA,>0 and <4,fail,fail,previous value,previous value,1,,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,,NEON.DOM.SITE.DP0.10004,date,"Date or date and time of measurement, observation, or collection event",date,NA,20130601 < date <=  system dateTime,fail,fail,previous value,previous value,date,,,,
div_10m2Data100m2Data_in,,NEON.DOM.SITE.DP0.10004,samplingProtocol,The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######v?,string,NA,NEON.DOC.######vX,fail,fail,previous value,previous value,NEON.DOC.000481,upper,Identification Qualifiers,,
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00007.003.001.001,NEON.DOM.SITE.DP0.10004,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used.",string,NA,NA,pass,pass,no data,no data,"Flora of Colorado, Weber 1996",upper,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00037.003.001.001,NEON.DOM.SITE.DP0.10004,measuredBy,An identifier for the technician who measured or collected the data.,string,NA,Typeahead (populated by Maximo),fail,warn,previous value,previous value,kthibault,lower,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00038.003.001.001,NEON.DOM.SITE.DP0.10004,recordedBy,An identifier for the technician who recorded the data.,string,NA,Typeahead (populated by Maximo),fail,warn,previous value,previous value,selmendorf,lower,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00065.003.001.001,NEON.DOM.SITE.DP0.10004,enteredBy,An identifier for the technician who entered the data.,string,NA,Typeahead (populated by Maximo),NA,fail,NA,NA,ymama,lower,,,NEON.DOM.SIT.DP0.10004
div_10m2Data100m2Data_in,NEON.DOM.SITE.DP0.10004.001.00008.003.001.001,NEON.DOM.SITE.DP0.10004,remarks,Technician notes; free text comments accompanying the record.,string,NA,NA,pass,pass,previous value,previous value,Plot likely burned within last year,asEntered,,,NEON.DOM.SIT.DP0.10004
